"scenario_id","rep_id","TT","TT_reference","TT_short","TT_ratio_to_reference","n1","n_cells","stress_type","beta0_star","beta0_star_ident","beta1_star","beta2_star","r_truth_mean","r_truth_min","r_truth_max","gamma_truth_mean","gamma_truth_min","gamma_truth_max","delta_truth","mean_exposure","min_exposure","max_exposure","exposure_cv","x1_sd","x2_sd","x2_mode","x2_ar","x2_innov_sd","mean_x1_within_sd","mean_x2_within_sd","min_x1_within_sd","min_x2_within_sd","max_x1_within_sd","max_x2_within_sd","mean_lag1_x1","mean_lag1_x2","between_var_x1","between_var_x2","within_var_x1","within_var_x2","cor_vec_x1_x2","cor_bar_x1_x2","between_within_ratio_x1","between_within_ratio_x2","phi_truth_sd","phi_ident_sd","coherent","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","kappa_mean","kappa_sd","kappa_cv","kappa_min","kappa_median","kappa_max","lambda_raw_min","lambda_raw_q01","lambda_raw_q05","lambda_raw_median","lambda_raw_q95","lambda_raw_q99","lambda_raw_max","log_lambda_mean","log_lambda_sd","log_lambda_q01","log_lambda_q05","log_lambda_median","log_lambda_q95","log_lambda_q99","delta_log_lambda_mean","delta_log_lambda_sd","delta_log_lambda_abs_mean","lambda_ident_lambda_raw_min","lambda_ident_lambda_raw_q01","lambda_ident_lambda_raw_q05","lambda_ident_lambda_raw_median","lambda_ident_lambda_raw_q95","lambda_ident_lambda_raw_q99","lambda_ident_lambda_raw_max","lambda_ident_log_lambda_mean","lambda_ident_log_lambda_sd","lambda_ident_log_lambda_q01","lambda_ident_log_lambda_q05","lambda_ident_log_lambda_median","lambda_ident_log_lambda_q95","lambda_ident_log_lambda_q99","lambda_ident_delta_log_lambda_mean","lambda_ident_delta_log_lambda_sd","lambda_ident_delta_log_lambda_abs_mean","file"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",1,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.63700651766786,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,656.452213796959,291.48251758498,1155.77493650154,0.472712481071693,1,1,"continuous_time",0.5,0.8,0.943302242617512,0.968441280201895,0.72355078896543,0.865316599167168,1.41524172564324,1.18489015907799,0.624180809048466,0.303608846639784,0.108467738037041,0.0910417899956787,0.930910892226476,0.946934752494396,-0.00831932558231391,-0.42274016348906,0.116517852506395,0.0961436780684818,0.348694310488072,0.873892033610516,TRUE,169.977777777778,125,0.0037037037037037,0.996296296296296,45894,1067,155.49799920618,24179.6277571251,0.914813696467264,142.251699447069,6.27729114916983,13.45,57,125,218.75,368.1,493,699.82,0.989830285520187,0.249871824641816,0.252439057783023,0.409422957325729,0.957243557837715,1.80449493891245,0.180977546015788,0.188118435641133,0.208704020649019,1.15579170525834,1.47763116838578,1.5362345106374,1.54581972091587,-0.137006517667858,0.592532733841533,-1.6707241152204,-1.56683831561528,0.144785500697734,0.390439432927464,0.42932963451537,0.000417056918665073,0.0267556729114781,0.0194327900839301,0.864702195533005,0.87758342589503,0.910183212808619,1.0020461777821,1.07481348436589,1.18171727411684,1.25130654036288,2.71387850463927e-17,0.0525944448334292,-0.130603609802392,-0.0941095448942195,0.00204408020492357,0.0721471324866694,0.166924820648881,0.000417056918665071,0.0267556729114781,0.0194327900839301,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep01.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",2,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.6790670388564,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,724.163750842616,311.909192262216,1122.72581219996,0.342802957715049,1,1,"continuous_time",0.5,0.8,0.874269373319347,0.958917218673873,0.727494775193381,0.587157969043721,1.03993055180549,1.17878055286094,0.595407270731452,0.410217829299142,0.276357800997752,0.0933784851334588,0.776529225136166,0.94478606731023,-0.0782231389597527,-0.304544917719745,0.355888474061349,0.0988355865569693,0.3201845486624,0.820440636324468,TRUE,180.344444444444,121,0,1,48693,1005,174.853980149797,30573.9143742255,0.969555678238045,169.530669316758,5.57266958289693,21.45,61,121,230.5,418,542.5,839.23,0.97176427914676,0.243291277407936,0.250360383303607,0.361813701901641,0.93272277820057,1.6534980540214,0.0499555340611998,0.060013893602449,0.0699736225212237,1.15441667551447,1.32293157991767,1.4056311987672,1.46329080958384,-0.179067038856396,0.892287830398588,-2.81372040167636,-2.65963967767399,0.143594978760064,0.279849611177678,0.340482417823468,0.00140536883809392,0.0252158269116023,0.0182858031622155,0.728423529026503,0.83424910519309,0.916079411029927,1.00491217805655,1.09021258116379,1.14524796896214,1.18891145551058,-1.88249621652298e-18,0.05638250563177,-0.181224185010844,-0.0876553371921199,0.00490003527852549,0.0863727020001744,0.135621130198805,0.00140536883809392,0.0252158269116023,0.0182858031622155,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep02.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",3,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.33085390067906,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,743.778078142729,328.087077787036,1112.5246437043,0.340662769740206,1,0.999999999999999,"continuous_time",0.5,0.8,0.90756217339454,0.96379624528203,0.547406566707532,0.697592624807334,1.27182712950937,1.18397771803014,0.627094084895133,0.446425895466591,0.187111275844099,0.088319044467137,0.8585949953924,0.949438426543628,-0.0243541191095474,-0.159865571355771,0.217927284515074,0.0930224035577083,0.442862375799366,0.378149887868421,TRUE,262.07037037037,178.5,0,1,70759,1969,298.223984976856,88937.5452154758,1.13795384253241,339.365129639741,7.51324919798188,44.45,105,178.5,294.5,501.7,799.349999999999,1745.24,1.00014849165532,0.271106795412187,0.271066544292323,0.355230341119869,0.978226828366751,1.79480313940719,0.794597914585854,0.809393731395515,0.875202124296136,1.23030934030739,1.46221547916118,1.4989220482086,1.5366191415799,0.169146099320941,0.160332593024325,-0.211475974628594,-0.133301124605598,0.207265626475232,0.379952724097007,0.404742313683457,-8.13131138755564e-05,0.0264801129135252,0.0169643447830762,0.832827579594226,0.867726941732463,0.920051783640302,0.998917686191335,1.06791729558093,1.09762442233535,1.41821367161258,-2.36436384873876e-18,0.0487490401104861,-0.141879731944639,-0.0833263341564415,-0.00108290161706131,0.0657102235589679,0.093148125238899,-8.13131138755566e-05,0.0264801129135252,0.0169643447830762,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep03.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",4,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.63172232835732,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,655.911231529789,372.490584310792,1220.59360965036,0.398799441249925,1,1,"continuous_time",0.5,0.8,0.920555733634691,0.968165353613314,0.598853644664922,0.873932828292156,1.21391210363994,1.02960558235537,0.536860379486861,0.473990032952982,0.164637702452023,0.0983477647224024,0.879260350235688,0.940216614814649,0.0851607748838986,0.0220095613724942,0.187245680312881,0.104601177189142,0.304787392122287,0.453344854329916,TRUE,154.296296296296,109.5,0,1,41660,974,134.021807806208,17961.8449676442,0.868600290630731,116.411381211328,6.31253000480077,25,66.75,109.5,203.25,321,373.55,649.24,0.982408515422326,0.260394490529866,0.265057240895276,0.358935341520906,0.949285495887095,1.68773399231194,0.386147058165817,0.398480606629718,0.417870238057831,1.00548799377866,1.30888747261086,1.33790754419942,1.36693790726157,-0.131722328357324,0.361995432744799,-0.920099186976459,-0.872585335455528,0.00546408441529844,0.269177517497141,0.291104258517792,-0.000846928553614709,0.0223876250385366,0.0169054634687198,0.883253305959705,0.897051779664197,0.93006256537542,0.999583814899534,1.08057140218726,1.11915596738835,1.14307717221333,3.54911573381329e-17,0.0483584342841776,-0.108643288817176,-0.0725041626985272,-0.000416417451619497,0.0774899680412869,0.11256862525363,-0.000846928553614708,0.0223876250385366,0.0169054634687198,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep04.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",5,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.70345106821141,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,887.454033447665,429.548642325212,1211.41018027402,0.228883326765177,1,1,"continuous_time",0.5,0.8,0.948688690136049,0.972350709642739,0.709720476871789,0.715171004215336,1.44583695376213,1.2835315360762,0.587310645799957,0.439842875894594,0.0962050741697369,0.0612341283806848,0.942186904978019,0.974344096508183,-0.0285366400927109,-0.55574779402703,0.102108269241952,0.062846512438607,0.31960949751074,0.909886430433807,TRUE,272.874074074074,178,0,1,73676,1602,291.360759009176,84891.0918904034,1.06774804458002,311.099880699399,5.87083989358814,23.45,68.5,178,341.5,732.3,890.549999999999,1391.27,1.02372020223527,0.252933957835895,0.247073328516541,0.500692304673219,1.01988314092924,2.23051218261718,0.152307676588216,0.156949876444693,0.167653037042974,1.19401933518972,1.40146585713473,1.487907712812,1.49840795940893,-0.203451068211411,0.727582492150668,-1.85190875187746,-1.78585887733925,0.177325205552717,0.337514906095855,0.397367933679409,0.00128019753748494,0.0231554982899326,0.0168058095916326,0.809756386766894,0.885471112918012,0.928972257863256,1.00000077880744,1.07535469613856,1.12305194585057,1.17455500468238,-2.65733936912595e-17,0.0457097006716721,-0.121919693928744,-0.0736765688466031,7.12871659184057e-07,0.072650433804781,0.11604991872098,0.00128019753748494,0.0231554982899326,0.0168058095916326,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep05.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",6,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.72461652830535,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,746.903987752866,367.91051673452,1195.19513601871,0.296451040246719,1,1,"continuous_time",0.5,0.8,0.866078861208991,0.941697919634106,0.693622766170466,0.643721521049692,1.05321929994512,1.21972453273268,0.650801997192723,0.402199639356612,0.293072111735245,0.113591541085361,0.761159743998242,0.926199349193538,-0.0420235290004349,-0.127387381111875,0.385033646414072,0.122642648350236,0.326223735644731,0.845580497966404,TRUE,217.725925925926,136.5,0,1,58786,2286,265.679179581115,70585.4264628942,1.22024595119418,324.193943200447,10.4994386418535,20,54.5,136.5,271.25,526.7,739.899999999996,1202.37,1.01420264689335,0.267418407164759,0.263673544911266,0.417850920182075,0.986141127343455,1.77689404613013,0.194613223850334,0.200753791255755,0.218963229928272,1.14645581603112,1.37029944460836,1.40245867983344,1.41831279764585,-0.224616528305352,0.684846542560025,-1.60567672225085,-1.51885147592642,0.136675273371966,0.315028967534094,0.338226744031782,0.000488800090822349,0.0256181926281951,0.0181155172611987,0.811414111282715,0.88005857304255,0.920328736775903,1.0010312026219,1.08044125236794,1.14455822515237,1.21134395649431,2.45431247341904e-17,0.0494756882223344,-0.127767358084435,-0.0830249947969174,0.00103066981923911,0.0773695135452228,0.13492670641099,0.000488800090822352,0.0256181926281951,0.0181155172611986,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep06.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",7,30,100,30,0.3,9,270,"short_time_series",-1.5,-2.1018943609622,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,604.805495715695,303.161561413152,1074.01209472438,0.438265164718576,1,1,"continuous_time",0.5,0.8,0.931354603315004,0.998960164476897,0.681749929254235,0.850086928257052,1.23217067876502,1.18559482070992,0.533765057229874,0.421547404153151,0.151455213684595,0.0239858084609335,0.891382178987345,1.00859542517002,0.132793134734645,-0.141682562917227,0.169910524637879,0.0237813972405141,0.149868077135918,1.77775899793108,TRUE,131.248148148148,89,0.037037037037037,0.962962962962963,35437,773,127.362760515288,16221.2727660746,0.970396628922533,123.592393454303,5.88960690803398,1,49,89,179.5,304.3,385.65,573.96,0.984211168247793,0.267527891698598,0.271819605720266,0.306601991438914,0.940818241411941,1.99366092152499,0.000433644727638038,0.0011892687176728,0.00603187977250018,1.08496925793598,1.39473617083325,1.57950819099478,1.61249271121549,-0.601894360962196,1.70857355343357,-6.73530138897457,-5.11077183293118,0.0815514875713292,0.332695185930659,0.457081788042255,-0.012615764886286,0.0924759769171921,0.0395310935324325,0.0844162119746356,0.231511082154025,0.869003404104874,0.995857682723221,1.38104284028182,2.87164195753986,3.51526278016612,-8.70188694764069e-17,0.328773538128414,-1.46401224078114,-0.140411972132719,-0.00415093913818124,0.322192113453337,1.05476815683791,-0.012615764886286,0.0924759769171921,0.0395310935324324,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep07.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",8,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.88232533320233,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,620.78403964565,314.497789568473,984.869371516781,0.299846367606819,0.999999999999999,1,"continuous_time",0.5,0.8,0.93410220878451,0.969529245133164,0.704878504448872,0.759339554174127,1.24282289283801,1.18068520560343,0.628232524163722,0.419847034165247,0.142601965634077,0.0805442398176234,0.899523096734948,0.956587672198354,-0.127963173243919,-0.237823415161939,0.158530632678236,0.0841995377512268,0.21750386998643,1.00568474774232,TRUE,139.237037037037,102,0.00740740740740741,0.992592592592593,37594,960,138.193749416554,19097.5123778053,0.992507111306846,137.158279034086,6.89471724211311,10.45,54,102,166.75,320.6,425.099999999999,621.8,0.986104054066815,0.234517174048898,0.237821934796557,0.454209522018145,0.977940971376356,1.59657952959924,0.0284476793136075,0.0323205126188293,0.0409034971378831,1.11646022880431,1.40036180967373,1.54537301861294,1.5956910911692,-0.382325333202329,1.0711736668757,-3.43215420547729,-3.19654615185149,0.110124320611128,0.33672343490311,0.43526471757969,-0.00034720190043765,0.0369355547475352,0.0230978836654603,0.66034378115103,0.750242199941013,0.876853267884205,1.00244018362201,1.16022203971091,1.28399285690446,1.3745136880081,-4.09137744260011e-17,0.090273812799935,-0.287460212082191,-0.131415705684175,0.00243718763304789,0.148599692170891,0.249974620436899,-0.000347201900437648,0.0369355547475352,0.0230978836654603,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep08.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",9,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.92197728162427,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,712.687625487639,309.901526286,1163.57016658892,0.328879482258546,1,1,"continuous_time",0.5,0.8,0.935059774858032,0.951633534843582,0.660925486555481,0.829312516290793,1.38761769199987,1.15848806488623,0.654421704250709,0.484134796555879,0.115672444512997,0.117967630007903,0.92428587477732,0.922175359379706,-0.0125217426708039,-0.0474451240835198,0.125147908963626,0.12792320767197,0.293962079040225,1.09874161411444,TRUE,237.322222222222,98,0,1,64077,1944,312.789565273112,97837.3121437423,1.31799526544221,412.255166109687,8.19139472821761,6.45,40.5,98,340.5,637.3,873.3,1337.91,1.01450749280877,0.290316228152418,0.286164695884746,0.333963933159194,0.977780912125495,2.31323981945724,0.0420420358730587,0.059541174801464,0.0656356506722262,1.05533381873618,1.38455982762536,1.40496121195456,1.44601292465453,-0.421977281624272,0.937786161426675,-2.82109129740718,-2.72363681112842,0.0538559628767806,0.325382034552058,0.340008633674608,0.00172171893991705,0.041911702905317,0.0247601795101572,0.61657955884332,0.849660678111431,0.90021160326007,1.00093353277108,1.10699303414089,1.30832551050975,1.40049314082075,-7.02113264647205e-17,0.076036874952193,-0.162918303043511,-0.105133183382961,0.000932926759995595,0.101640771218064,0.268577630593025,0.00172171893991704,0.0419117029053169,0.0247601795101572,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep09.rds"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",10,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.50644081119884,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,764.047662444866,419.615930582493,1234.1894855883,0.358052792150688,1,1,"continuous_time",0.5,0.8,0.948065825260298,0.968355849890112,0.739069864004556,0.731966498587249,1.08277381601602,1.27001028376986,0.586016456495636,0.42427969453568,0.129988396686241,0.0770527890358216,0.911121780824912,0.959798201652885,-0.0645908452567107,-0.788591701070366,0.142668520742147,0.080280197340574,0.365177532194079,0.599587948250454,TRUE,256.574074074074,149,0,1,69275,2079,297.766169197671,88664.6915186562,1.16054659954343,345.571515121432,8.10292313244317,30.9,72,149,320.75,600.5,822.949999999999,1365.64,1.00210181616943,0.249961340984235,0.249437070117007,0.46474199644818,0.963908643122979,1.6675285813149,0.363899355111019,0.378744045470916,0.404486247409303,1.17589417838648,1.38828881857548,1.41746643223679,1.42856130423437,-0.00644081119883943,0.384645777171416,-0.970903936800753,-0.90513927337336,0.162028860694088,0.328071918950699,0.348868693975945,-0.000205416950199588,0.0221446428185784,0.0162976272529906,0.854361708993345,0.906873475691422,0.928858329030485,1.00332901212385,1.06210153267438,1.08420247493066,1.11990885571258,6.93889390390723e-18,0.0402030863489427,-0.0977535199134008,-0.0737998758418178,0.00332345851075894,0.0602478492903694,0.0808313027109519,-0.000205416950199588,0.0221446428185784,0.0162976272529906,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep10.rds"
