"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta1",0.5,0.511426517078906,0.0114265170789064,0.0143940785044203,1,77.4942314713541,0.221230680759924,NA,"S1","rep11","old_kappa_conditioned"
"beta2",-0.4,-0.40861574617113,-0.00861574617112976,0.0116806721876465,1,106.686429125861,0.30456862266044,NA,"S1","rep11","old_kappa_conditioned"
"r_mean",15,16.33689403687,1.33689403687,1.60692634491111,1,1067.4709789104,3.04741819967732,NA,"S1","rep11","old_kappa_conditioned"
"beta0",-1.5,-1.50428829211632,-0.00428829211631698,0.00943982688119976,1,148.199885789528,0.424958094252255,NA,"S1","rep12","old_kappa_conditioned"
"beta1",0.5,0.491882743340772,-0.00811725665922819,0.0121199677718559,1,80.8860926682055,0.231938099065802,NA,"S1","rep12","old_kappa_conditioned"
"beta2",-0.4,-0.397206696229025,0.00279330377097492,0.0103821768413218,1,63.1938583542008,0.181206223416306,NA,"S1","rep12","old_kappa_conditioned"
"r_mean",15,15.1967972175981,0.196797217598107,0.83154142600469,1,1309.64390131282,3.75535901047442,NA,"S1","rep12","old_kappa_conditioned"
"beta0",-1.5,-1.49143118352905,0.00856881647094854,0.0122961277263919,1,203.909698719864,0.591658272578892,NA,"S1","rep13","old_kappa_conditioned"
"beta1",0.5,0.503478604026655,0.00347860402665534,0.00974591872734796,1,93.1763218764593,0.27035762395205,NA,"S1","rep13","old_kappa_conditioned"
"beta2",-0.4,-0.387468976523808,0.0125310234761921,0.0157578241576608,1,90.4648995146616,0.262490242062496,NA,"S1","rep13","old_kappa_conditioned"
"r_mean",15,17.1311206661548,2.13112066615481,2.31472289455834,0,1035.11466704505,3.00345770539499,NA,"S1","rep13","old_kappa_conditioned"
"beta0",-1.5,-1.50238768100541,-0.00238768100540909,0.00906234901311975,1,137.739817148187,0.400772266394816,NA,"S1","rep14","old_kappa_conditioned"
"beta1",0.5,0.504639098044531,0.00463909804453055,0.00992671030379556,1,21.5316355364579,0.0626491493294898,NA,"S1","rep14","old_kappa_conditioned"
"beta2",-0.4,-0.400004014938819,-4.01493881868609e-06,0.00824502812817389,1,68.41898520038,0.199074111835719,NA,"S1","rep14","old_kappa_conditioned"
"r_mean",15,17.0332476665561,2.03324766655613,2.23825163879766,0,912.965499127144,2.65639420612718,NA,"S1","rep14","old_kappa_conditioned"
"beta0",-1.5,-1.49946621338942,0.000533786610584341,0.00905558992364264,1,195.143954311754,0.568031909483864,NA,"S1","rep15","old_kappa_conditioned"
"beta1",0.5,0.497406143437224,-0.00259385656277594,0.0097147786595095,1,107.019369562704,0.311515757989334,NA,"S1","rep15","old_kappa_conditioned"
"beta2",-0.4,-0.409047126130818,-0.00904712613081782,0.0123202854643994,1,109.487549277247,0.318700222612621,NA,"S1","rep15","old_kappa_conditioned"
"r_mean",15,15.8117550942299,0.811755094229937,1.1551129655622,1,1297.44545569862,3.77665002357317,NA,"S1","rep15","old_kappa_conditioned"
