"diagnostic_step","n_reps","n_stable","n_soft_warning","n_numerical_instability","beta1_mean_avg","beta2_mean_avg","beta2_mean_sd","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","low_exp_log_lambda_rmse_avg","high_exp_log_lambda_rmse_avg","beta_guard_total","kappa_guard_total","lambda_output_guard_total","conclusion"
"S4B sampled lambda, fixed gamma (stable+soft)",10,9,1,0,0.500189472414622,-0.399880877063073,0.014624614608017,0.36062821073086,0.209376760558404,0.477827334388519,0.214514754182489,0.0919619975384402,0,0,1,"Main exposure-stress fit summarized on stable+soft reps; failure rate is reported separately."
"S3 control, fixed gamma stabilized",3,3,0,0,0.49182254203961,-0.407693973766321,0.00888338303568151,0.0472286900687363,0.0472103316527964,0.734008676383658,NA,NA,0,0,0,"Same machinery stable in non-exposure-stressed reference setting."
