"scenario_id","rep_id","fit_status","nonfailed","stable_fit","mean_count","zero_prop","exposure_mean_ratio","exposure_cv","count_low_exposure_mean_count","count_low_exposure_zero_prop","count_high_exposure_mean_count","count_high_exposure_zero_prop","beta0_mean","beta1_mean","beta2_mean","r_mean","phi_rmse","phi_cor","lambda_rmse","log_lambda_rmse","cor_log_lambda","lambda_low_exposure_log_lambda_rmse","lambda_high_exposure_log_lambda_rmse","phi_low_exposure_phi_rmse","phi_high_exposure_phi_rmse","s4b_beta_guard_count","s4b_kappa_guard_count","s4b_lambda_input_guard_count","s4b_lambda_output_guard_count"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"stable",TRUE,TRUE,8.29444444444444,0.224444444444444,0.051100885077019,0.772886513957123,2.98,0.333333333333333,16.54,0.00333333333333333,-2.29748575002967,0.510486842467723,-0.401081466068736,14.9041800382375,0.287978569212194,0.997524087847023,2.02359769499673,0.664688768786745,0.382820541583377,0.306262235847961,0.0649026010634485,0.0917121123485128,0.113299509545265,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"stable",TRUE,TRUE,11.2677777777778,0.105555555555556,0.0461456787296147,0.785272211231672,1.95666666666667,0.293333333333333,19.1,0.00333333333333333,-1.39632924836362,0.482066961409403,-0.386470919065649,16.0214416274468,0.0644422259413264,0.975222606113467,0.15062239639208,0.141052354286578,0.178752156981576,0.208176477768326,0.0799666242173043,0.104884094620239,0.0303418829700389,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"stable",TRUE,TRUE,10.7044444444444,0.134444444444444,0.0555929215485771,1.18511589009766,1.58666666666667,0.33,25.03,0,-1.51626198824335,0.511273752728057,-0.415054820358052,17.9320000562108,0.0739537296806446,0.973274197870905,0.169492453453296,0.143215142631815,0.41318967840656,0.212444985461562,0.0652286831864952,0.102617950650399,0.0685811303480584,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"soft_warning",TRUE,FALSE,6.49222222222222,0.131111111111111,0.0553186962035692,0.854245265689194,5.19666666666667,0.0533333333333333,11.5066666666667,0.00333333333333333,-2.01883767964062,0.487042659793603,-0.403955929087234,19.2036025248921,0.0655705108891323,0.998836097781363,0.270981206928472,0.232710607974367,0.536040895367037,0.106448977519929,0.091067245834115,0.0320694462267628,0.0692187396494719,0,0,0,1
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"stable",TRUE,TRUE,17.7111111111111,0.16,0.0494731736054185,0.850287624248096,1.39,0.44,43.27,0.00666666666666667,-1.66278952539241,0.516740218213915,-0.385790570200762,17.0381146386446,0.121300292896095,0.982973365997322,0.222027150923002,0.196920175348885,0.401490915865965,0.318622657972865,0.0779039320333292,0.182428083914309,0.0889032366381294,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"stable",TRUE,TRUE,11.35,0.0733333333333333,0.0494606889370041,0.648279493233658,3.29,0.206666666666667,21.8,0.00666666666666667,-1.62446395995393,0.469739359452301,-0.37003925040202,17.8257818728376,0.0323542642094701,0.999108730147471,0.12966602160232,0.129217610465875,0.470111495793759,0.178668886703964,0.0910036256712316,0.0441965576571009,0.0310790898468399,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"stable",TRUE,TRUE,10.2788888888889,0.147777777777778,0.0472034871191146,0.823174305631986,1.37333333333333,0.36,22.05,0.05,-1.69447051580017,0.493353274906144,-0.407362249805779,18.86655294126,0.0513363696297944,0.998028049782866,0.146672808041597,0.135242419191842,0.582794577180233,0.187453559893234,0.109857877374107,0.0734873936540326,0.0315843234280218,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"stable",TRUE,TRUE,9.13888888888889,0.187777777777778,0.0467254010217166,0.801431177341371,1.34,0.43,14.6133333333333,0.123333333333333,-1.80318428787068,0.51010283508029,-0.405938870249944,15.5393076289876,0.0828398221701725,0.996935937045524,0.213016560903524,0.194000562634605,0.600934179082052,0.281658917240777,0.155012453893742,0.115308697772119,0.0782166270328392,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"stable",TRUE,TRUE,9.35888888888889,0.113333333333333,0.0508557399152359,0.872755737430909,2.13,0.3,16.7233333333333,0.0166666666666667,-1.67154387020844,0.501952212645053,-0.406954001163056,17.866569022683,0.14729474397943,0.93358083442127,0.157983874496837,0.139598062418166,0.55017227936192,0.210141971305578,0.075267221619939,0.231030327910926,0.101004439337508,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"stable",TRUE,TRUE,8.46777777777778,0.0844444444444444,0.0418030505047972,0.657284125303518,3.45,0.17,13.67,0.04,-1.62525517727714,0.519136607449728,-0.416160694229496,20.6526908263868,0.0500222058332539,0.997292865888758,0.12222193957074,0.117121901845162,0.661966624262715,0.135268872110697,0.10940971049069,0.0623836046891767,0.0394383069751798,0,0,0,0
