"rep_id","fit_status","nonfailed","stable_fit","mean_count","zero_prop","low_mean_count","high_mean_count","low_zero_prop","high_zero_prop","low_log_lambda_rmse","high_log_lambda_rmse","low_minus_high_log_lambda_rmse","low_phi_rmse","high_phi_rmse","low_minus_high_phi_rmse"
1,"stable",TRUE,TRUE,8.29444444444444,0.224444444444444,2.98,16.54,0.333333333333333,0.00333333333333333,0.306262235847961,0.0649026010634485,0.241359634784512,0.0917121123485128,0.113299509545265,-0.0215873971967522
2,"stable",TRUE,TRUE,11.2677777777778,0.105555555555556,1.95666666666667,19.1,0.293333333333333,0.00333333333333333,0.208176477768326,0.0799666242173043,0.128209853551022,0.104884094620239,0.0303418829700389,0.0745422116502001
3,"stable",TRUE,TRUE,10.7044444444444,0.134444444444444,1.58666666666667,25.03,0.33,0,0.212444985461562,0.0652286831864952,0.147216302275067,0.102617950650399,0.0685811303480584,0.0340368203023406
4,"soft_warning",TRUE,FALSE,6.49222222222222,0.131111111111111,5.19666666666667,11.5066666666667,0.0533333333333333,0.00333333333333333,0.106448977519929,0.091067245834115,0.015381731685814,0.0320694462267628,0.0692187396494719,-0.0371492934227091
5,"stable",TRUE,TRUE,17.7111111111111,0.16,1.39,43.27,0.44,0.00666666666666667,0.318622657972865,0.0779039320333292,0.240718725939536,0.182428083914309,0.0889032366381294,0.0935248472761796
6,"stable",TRUE,TRUE,11.35,0.0733333333333333,3.29,21.8,0.206666666666667,0.00666666666666667,0.178668886703964,0.0910036256712316,0.0876652610327324,0.0441965576571009,0.0310790898468399,0.013117467810261
7,"stable",TRUE,TRUE,10.2788888888889,0.147777777777778,1.37333333333333,22.05,0.36,0.05,0.187453559893234,0.109857877374107,0.077595682519127,0.0734873936540326,0.0315843234280218,0.0419030702260108
8,"stable",TRUE,TRUE,9.13888888888889,0.187777777777778,1.34,14.6133333333333,0.43,0.123333333333333,0.281658917240777,0.155012453893742,0.126646463347035,0.115308697772119,0.0782166270328392,0.0370920707392798
9,"stable",TRUE,TRUE,9.35888888888889,0.113333333333333,2.13,16.7233333333333,0.3,0.0166666666666667,0.210141971305578,0.075267221619939,0.134874749685639,0.231030327910926,0.101004439337508,0.130025888573418
10,"stable",TRUE,TRUE,8.46777777777778,0.0844444444444444,3.45,13.67,0.17,0.04,0.135268872110697,0.10940971049069,0.025859161620007,0.0623836046891767,0.0394383069751798,0.0229452977139969
