"scenario_id","rep_id","exposure_group","n_areas","mean_multiplier","mean_count","zero_prop","lambda_rmse","log_lambda_rmse","cor_log_lambda","phi_rmse","phi_mae","phi_cor","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"middle_exposure",3,0.0465435814207548,11.4633333333333,0.01,0.0716354735362164,0.0709146790826411,0.558689306990439,0.0342545162753931,0.0275947584884456,0.998000671412612,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"middle_exposure",3,0.0334914932285527,9.22333333333333,0.0233333333333333,0.095564681037788,0.0908079486829911,0.659703072263926,0.0388627795118059,0.0365168129310293,0.999996763351396,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"middle_exposure",3,0.0414494189226492,8.28333333333333,0.0433333333333333,0.110695087516654,0.105594137158253,0.536068069837324,0.0453824750117188,0.0446542806297668,0.994740062072556,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"high_exposure",3,0.0735175391679131,16.54,0.00333333333333333,0.0654855360778902,0.0649026010634485,0.525879252290861,0.113299509545265,0.109922580225053,0.99083530134313,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"high_exposure",3,0.077147793862011,19.1,0.00333333333333333,0.081666923491948,0.0799666242173043,0.54956548994202,0.0303418829700389,0.0252718220556752,0.999945028154219,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"high_exposure",3,0.116126406209181,25.03,0,0.06497256810712,0.0652286831864952,0.795948534534421,0.0685811303480584,0.0648355362581283,0.97616397096182,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"high_exposure",3,0.0827965278366683,11.5066666666667,0.00333333333333333,0.0914278188049978,0.091067245834115,0.0303347679138784,0.0692187396494719,0.0567679504902788,0.964509846834097,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"high_exposure",3,0.0994721471875628,43.27,0.00666666666666667,0.0769198127171245,0.0779039320333292,0.45665411419387,0.0889032366381294,0.0868720699388589,0.999983844834774,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"high_exposure",3,0.0854320790325729,21.8,0.00666666666666667,0.0909041396957213,0.0910036256712316,0.396840394300217,0.0310790898468399,0.0256937496782584,0.998495916862801,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"high_exposure",3,0.0831638078672626,22.05,0.05,0.116058709748981,0.109857877374107,0.682236932104002,0.0315843234280218,0.0285321121939605,0.999994089879409,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"high_exposure",3,0.09139525384849,14.6133333333333,0.123333333333333,0.16388200233686,0.155012453893742,0.651450534755379,0.0782166270328392,0.0627520952888992,0.999734303835534,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"high_exposure",3,0.0916175477232055,16.7233333333333,0.0166666666666667,0.0768024335904781,0.075267221619939,0.335451298520415,0.101004439337508,0.0924523850505815,0.999870584022475,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"high_exposure",3,0.0874654069424259,13.67,0.04,0.112082043067565,0.10940971049069,0.823796758654442,0.0394383069751798,0.0330725112425399,0.99962832225962,"stable",TRUE,TRUE
