"scenario_id","rep_id","TT","TT_reference","TT_short","TT_ratio_to_reference","n1","n_cells","stress_type","beta0_star","beta0_star_ident","beta1_star","beta2_star","r_truth_mean","r_truth_min","r_truth_max","gamma_truth_mean","gamma_truth_min","gamma_truth_max","delta_truth","mean_exposure","min_exposure","max_exposure","exposure_cv","x1_sd","x2_sd","phi_truth_sd","phi_ident_sd","coherent","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","kappa_mean","kappa_sd","kappa_cv","kappa_min","kappa_median","kappa_max","lambda_raw_min","lambda_raw_q01","lambda_raw_q05","lambda_raw_median","lambda_raw_q95","lambda_raw_q99","lambda_raw_max","log_lambda_mean","log_lambda_sd","log_lambda_q01","log_lambda_q05","log_lambda_median","log_lambda_q95","log_lambda_q99","delta_log_lambda_mean","delta_log_lambda_sd","delta_log_lambda_abs_mean","lambda_ident_lambda_raw_min","lambda_ident_lambda_raw_q01","lambda_ident_lambda_raw_q05","lambda_ident_lambda_raw_median","lambda_ident_lambda_raw_q95","lambda_ident_lambda_raw_q99","lambda_ident_lambda_raw_max","lambda_ident_log_lambda_mean","lambda_ident_log_lambda_sd","lambda_ident_log_lambda_q01","lambda_ident_log_lambda_q05","lambda_ident_log_lambda_median","lambda_ident_log_lambda_q95","lambda_ident_log_lambda_q99","lambda_ident_delta_log_lambda_mean","lambda_ident_delta_log_lambda_sd","lambda_ident_delta_log_lambda_abs_mean","file"
"S4D_SHORT_TIME_T30",1,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.68655237120595,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,656.452213796959,291.48251758498,1155.77493650154,0.472712481071693,1,1,0.181920085567914,0.808102909130279,TRUE,180.192592592593,115,0,1,48652,1427,209.510599719299,43894.6913947405,1.16270373107397,243.598755993175,7.91930444791581,19,49,115,239.5,376.6,523.75,1054.32,0.994807286044522,0.267161241451016,0.268555774770491,0.409422957325729,0.95769540902426,2.19947113382804,0.099864169795867,0.104287899246884,0.110592549396516,1.15915838824795,1.55248594432229,1.61303419494322,1.6764080203374,-0.186552371205952,0.783455416687845,-2.26060305792135,-2.20191887956386,0.147694163369018,0.439857326055083,0.478116403588912,-0.00158187808861509,0.0317773974552846,0.0211471105533957,0.831295188637378,0.847101161383629,0.888685257242759,0.996260944940772,1.12932884519775,1.26244781455685,1.31415457907888,-9.07244315681463e-17,0.0692532964664905,-0.165936436128094,-0.118012233334943,-0.00374607169443879,0.121614363559958,0.232953802323333,-0.00158187808861509,0.0317773974552846,0.0211471105533957,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep01.rds"
"S4D_SHORT_TIME_T30",2,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.48067932076567,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,724.163750842616,311.909192262216,1122.72581219996,0.342802957715049,1,0.999999999999999,0.161194653234837,0.295666406030626,TRUE,208.085185185185,159.5,0,1,56183,984,171.948153341924,29566.1674376979,0.826335393309712,142.086844920678,4.72883256501077,32.45,77,159.5,280.75,442.2,532,791.29,0.995147443925996,0.261063616695642,0.262336619853746,0.452250760958339,0.960470031665856,1.82589900937208,0.545479117605404,0.579027270575968,0.627826899524287,1.09984462867002,1.3870764230775,1.45354890051268,1.46782368284897,0.019320679234329,0.24982907792684,-0.546429321844477,-0.465669853262122,0.0951688823030735,0.327194461445653,0.374005876883992,0.00020313252575688,0.0242140521654901,0.0169814527859018,0.784305950946718,0.829308034407183,0.886681090850728,1.00184428503134,1.08344957512714,1.34619469400049,1.56760176531647,3.28954970259306e-17,0.073590354317726,-0.187172768001176,-0.120270059222771,0.00184257865789022,0.0801440443877063,0.29727965663131,0.000203132525756878,0.0242140521654901,0.0169814527859018,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep02.rds"
"S4D_SHORT_TIME_T30",3,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.66396785523235,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,743.778078142729,328.087077787036,1112.5246437043,0.340662769740206,1,0.999999999999999,0.261052171665344,0.597131436434456,TRUE,177.937037037037,134.5,0,1,48043,1574,173.76155445125,30193.0778053146,0.976533932140737,169.684054023166,8.84582561455363,28.45,70.25,134.5,226.75,339.3,441.649999999999,859.1,0.998921259549638,0.260381255836266,0.260662442957374,0.502025158149824,0.979303535236077,1.85791235097379,0.115892486293922,0.117961904161638,0.139466718835254,1.15806400181371,1.43201682901164,1.46367245526639,1.48111159902648,-0.163967855232355,0.710587429283607,-2.13739804140625,-1.9699292980257,0.146749624427984,0.359072490354325,0.380948651839964,-0.000281157759595237,0.0295634649007884,0.0205786279654215,0.859526352397742,0.874874363716728,0.91237905297948,0.998583478437464,1.11574371252426,1.1487093416672,1.19754877369765,2.48900694293857e-17,0.0586426165950504,-0.133679475933426,-0.0916997527718828,-0.00141759107180345,0.109520987818974,0.138638895656852,-0.000281157759595241,0.0295634649007884,0.0205786279654215,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep03.rds"
"S4D_SHORT_TIME_T30",4,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.36802829840638,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,655.911231529789,372.490584310792,1220.59360965036,0.398799441249925,1,1,0.144741097220956,0.192035261527271,TRUE,222.97037037037,142.5,0,1,60202,1749,225.68527418729,50933.8429849924,1.01217607439235,228.433234875054,7.84409155841999,37.9,84,142.5,275.75,504.7,652.849999999999,1019.1,1.01445978077277,0.253038752629888,0.24943202029866,0.358935341520906,0.98738165615326,1.79946776539394,0.78465965197555,0.805522699454526,0.834663575276031,1.16964854452715,1.5782993439282,1.7251829877048,1.76440566497658,0.131971701593617,0.178536096857874,-0.216289496655841,-0.180727404610817,0.156699704803884,0.456344131750135,0.545277445967347,-0.000615936110630261,0.0207700080284375,0.015352748731856,0.825483524563224,0.847963189865486,0.920613150575641,0.998001171749897,1.09159788641893,1.15525109644027,1.17512414715828,5.75671197953785e-18,0.0543591512951756,-0.164929582581631,-0.0827156366773102,-0.00200083240155021,0.0876425618828458,0.144294008318137,-0.000615936110630261,0.0207700080284375,0.015352748731856,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep04.rds"
"S4D_SHORT_TIME_T30",5,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.4433484133027,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,887.454033447665,429.548642325212,1211.41018027402,0.228883326765177,1,1,0.26182962364934,0.332800612075615,TRUE,243.203703703704,194.5,0,1,65665,1246,171.462068337067,29399.2408784249,0.705014215350764,120.883195571076,5.1232772405391,63.45,127,194.5,323.25,456,539.099999999999,862.41,0.998007576481967,0.26140769773019,0.261929572370249,0.463194938481265,0.973182367651647,2.23051218261718,0.556732888094667,0.570293630000399,0.604794487602367,1.12730488787573,1.63892360411054,1.715428137696,1.72820267916691,0.0566515866973039,0.28100201469946,-0.561626302629827,-0.502880754826425,0.119829150856149,0.494039500762576,0.539659124798467,-3.3959895146738e-05,0.0191124518495788,0.0140539244906553,0.785103004725546,0.891969457735719,0.924382248819957,0.993935407542247,1.09149939216907,1.13958299000686,1.16553901992486,-2.05596856412066e-17,0.0544980349542045,-0.114331562739647,-0.0786320817413043,-0.00608313501939068,0.0875521071120953,0.130655697790552,-3.39598951467407e-05,0.0191124518495788,0.0140539244906553,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep05.rds"
"S4D_SHORT_TIME_T30",6,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.6194029214327,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,746.903987752866,367.91051673452,1195.19513601871,0.296451040246719,1,0.999999999999997,0.25624176296322,0.48490205134367,TRUE,224.011111111111,139,0,1,60483,1532,248.245104375382,61625.6318463445,1.108182103754,275.100782013343,6.83894648082932,31,58,139,296.25,493.1,714.099999999998,1263.65,1.01307075594163,0.275610405132311,0.272054447841738,0.438548999047729,0.98010139090189,1.88106744198552,0.255409081052806,0.265748130507063,0.274636355209189,1.11889415784242,1.36802095745694,1.51751384693888,1.53517883088016,-0.119402921432699,0.491591588762102,-1.32520864479027,-1.29231647468843,0.112340650717357,0.313364023990091,0.417073272465588,-0.000466068178067059,0.028138181132065,0.0185791104174602,0.882777731908341,0.912352100843983,0.931866156471167,0.998338074434472,1.08298517719311,1.12528464362099,1.25023860081624,-2.71387850463927e-17,0.04825543804523,-0.0917456913824935,-0.0705660928696386,-0.00166333206205087,0.0797212584456853,0.118035382773184,-0.000466068178067058,0.028138181132065,0.0185791104174602,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep06.rds"
"S4D_SHORT_TIME_T30",7,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.52466887246553,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,604.805495715695,303.161561413152,1074.01209472438,0.438265164718576,1,1,0.591834459559482,0.869793960540378,TRUE,225.648148148148,106,0,1,60925,1709,303.495028982973,92109.2326173758,1.34499233197214,408.198486773762,7.57373820270824,23,51,106,278,558.2,846.699999999999,1499.37,0.998515777235399,0.251146513472783,0.251519824922682,0.452127773387586,0.976066642448203,1.93942846712571,0.162408860287777,0.185924063859362,0.224337340623512,1.21965176016873,1.37025203093688,1.41196756171228,1.41801855500315,-0.0246688724655304,0.535657089658513,-1.68241748956214,-1.49471878070543,0.198563977628524,0.314990999851346,0.344984059547256,-0.00132496897293584,0.0256668194888008,0.0185329073032249,0.723098663071434,0.827796228428005,0.902362709829376,1.00095821408099,1.10961768383923,1.15182852206532,1.23899317430291,8.30097307763717e-18,0.0636800647959919,-0.188988797929288,-0.102739028158434,0.000957743705840701,0.104015020373529,0.141326474392877,-0.00132496897293584,0.0256668194888008,0.0185329073032249,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep07.rds"
"S4D_SHORT_TIME_T30",8,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.49283208386163,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,620.78403964565,314.497789568473,984.869371516781,0.299846367606819,0.999999999999999,1.00000000000001,0.296453777490675,0.459285650051751,TRUE,188.488888888889,119.5,0,1,50892,1655,205.769093768801,42340.9199504337,1.0916775783537,224.63350598556,8.78035840603632,29.45,73.5,119.5,223.5,386.3,574.349999999999,1097.34,0.990581042112981,0.24669792442419,0.249043656133339,0.454209522018145,0.978369384689614,1.62135016547389,0.526206765234341,0.532903542666091,0.581940977780612,1.04205917288938,1.36473979123017,1.41254030404252,1.43195166114828,0.0071679161383718,0.249794832931519,-0.629416330910699,-0.541387630031412,0.0411986871442127,0.310960467993453,0.345386911293152,0.00126703380753141,0.0242465844564361,0.0179450087034462,0.839257492862519,0.883801609663597,0.916009510512923,1.00227736592648,1.08950161212601,1.11841503953704,1.14269131081054,-7.06739193916477e-18,0.0493376305472429,-0.123553340170203,-0.0877381947291088,0.00227477617438378,0.0857203487580629,0.111911799550606,0.00126703380753141,0.0242465844564361,0.0179450087034462,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep08.rds"
"S4D_SHORT_TIME_T30",9,30,100,30,0.3,9,270,"short_time_series",-1.5,-1.4569179028339,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,712.687625487639,309.901526286,1163.57016658892,0.328879482258546,1,0.999999999999997,0.272407561683063,0.422165250800413,TRUE,220.840740740741,153.5,0,1,59627,1482,197.503772980307,39007.7403414567,0.894326709455162,176.632899394457,6.71071829875728,33,74.25,153.5,320.5,468.6,577.549999999999,912.38,1.00565017695136,0.260888530595508,0.259422746174416,0.394511827249333,0.972719226567638,2.31323981945724,0.490614068563706,0.503698124340381,0.543390481008279,1.17070317286083,1.33424969635193,1.35310138196764,1.37728195715608,0.0430820971660999,0.274075429730592,-0.685778201122094,-0.609927449664595,0.157604149694907,0.288369088233323,0.30239889922599,-0.000863297651526338,0.0245875258191097,0.0176034394440352,0.883941550770782,0.910397724982118,0.939279475488528,1.00157396398381,1.05951576855248,1.07970707056992,1.08368678284819,-4.80582651863204e-18,0.0356499562876023,-0.0938952419526366,-0.0626480338627392,0.00157271560585353,0.0578119014706121,0.0766896931069214,-0.000863297651526336,0.0245875258191097,0.0176034394440352,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep09.rds"
"S4D_SHORT_TIME_T30",10,30,100,30,0.3,9,270,"short_time_series",-1.5,-2.08327041168101,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,764.047662444866,419.615930582493,1234.1894855883,0.358052792150688,1,1,0.390323546127293,1.24513338718104,TRUE,157.896296296296,106.5,0,1,42632,907,157.091703574557,24677.8033319565,0.994904296423587,156.291210818827,5.74427659973728,6,43.25,106.5,224.25,357.4,471.599999999999,700.42,1.0092069922934,0.280113558838265,0.277558083700662,0.369239757830242,1.00771375143547,2.38618993792064,0.0201585917902548,0.0235281430234551,0.0312649450438251,1.06154037078704,1.31456016678457,1.34578858133917,1.36418600003538,-0.583270411681008,1.17051815840808,-3.74955974406373,-3.46536681347501,0.0597114454125773,0.273497047447806,0.296979904618959,0.00231871510371701,0.0354846709958839,0.0231839907697594,0.678476970525953,0.791885830456284,0.905028483784905,1.00122370009425,1.10239794892519,1.21591436019816,1.27604731337251,5.24657477956541e-17,0.0740267562171115,-0.233339796199492,-0.099797292444902,0.00122290944810708,0.097475913788044,0.195493985774563,0.00231871510371701,0.0354846709958839,0.0231839907697594,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep10.rds"
