"diagnostic_label","n","reps","mean_count_avg","zero_prop_avg","count_cv_avg","beta0_mean_avg","beta1_mean_avg","beta2_mean_avg","beta2_mean_sd","r_mean_avg","r_region_coverage_95_avg","r_region_rmse_avg","r_region_mae_avg","phi_rmse_avg","phi_cor_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","kappa_truth_cv_avg","kappa_post_mean_cv_avg","kappa_rmse_avg","log_kappa_rmse_avg","cor_log_kappa_avg","beta_guard_total","kappa_guard_total","lambda_guard_total"
"oracle_lambda",1,"7",182.795555555556,0.0622222222222222,1.19263782866619,-1.38800296261693,0.51110234093559,-0.486764929674427,NA,2.7591529954368,0.777777777777778,1.06378958747538,0.63352000993237,19.6485600160386,0.716627660817856,0,0,1,0.564157339244969,0.667580360654009,0.362502332962017,4.98467739676937,0.102962146097603,0,8767,0
"oracle_lambda_phi",1,"7",182.795555555556,0.0622222222222222,1.19263782866619,-8.34277669798707,0.508046395592312,-0.395781401411524,NA,3.03610419088591,0.888888888888889,0.389563535880929,0.338305747187847,7.61444015091943e-13,1,0,0,1,0.564157339244969,0.649232612524512,0.347791892269249,4.71945385393724,0.119506702093817,0,0,0
