"scenario_id","rep_id","fit_status","mean_count","zero_prop","reference_mean_count","observed_total_count","max_count","x2_confounding_strength","x2_residual_weight","preserve_reference_mean","x2_phi_cell_cor","x2_phi_abs_cell_cor","x2_phi_area_mean_cor","x2_phi_abs_area_mean_cor","reference_x2_phi_abs_cell_cor","reference_x2_phi_abs_area_mean_cor","beta0_reference_truth","beta0_confounding_truth","beta0_shift_to_preserve_reference_mean","beta0_mean","beta1_mean","beta2_mean","r_mean","r_truth_for_eval","lambda_rmse","log_lambda_rmse","cor_log_lambda","kappa_truth_cv","kappa_post_mean_cv","kappa_rmse","log_kappa_rmse","cor_log_kappa","phi_rmse","phi_cor","s4e_beta_guard_count","s4e_kappa_guard_count","s4e_lambda_input_guard_count","s4e_lambda_output_guard_count","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_empirical_ar1_mean","x2_binary_like_prop"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"stable",151.833333333333,0.00555555555555556,152.006666666666,136650,1199,0.75,1,TRUE,0.553568657398345,0.553568657398345,0.985984027960683,0.985984027960683,0.0434219057072446,0.360445427373734,-1.5,-1.36120609062194,0.138793909378059,-1.99780409313584,0.495477657819795,-0.403029266488381,14.7987808281324,15,0.0903820783756154,0.0921049838596237,0.910612151901972,0.258947395826071,0.228019079931172,0.130452588597361,0.134468147153731,0.860507860883693,0.0210689622492441,0.999901902495099,0,0,0,0,"continuous_time",0.5,0.8,1,0.500702401548939,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"stable",226.99,0,228.057777777778,204291,1432,0.75,1,TRUE,0.572433708044311,0.572433708044311,0.973158089356457,0.973158089356457,0.00939918314122524,0.0568414325394035,-1.5,-1.44678094903446,0.0532190509655409,-1.33227818266057,0.496411702545565,-0.381788639214316,16.0297959567869,15,0.0434811874506825,0.0431449926333168,0.796967210506476,0.256034194875787,0.235619580875694,0.0886903073700817,0.0913420073403436,0.936309143181058,0.0165306449733149,0.998539642292696,0,0,0,0,"continuous_time",0.5,0.8,1,0.471020565051243,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"stable",210.185555555556,0,209.543333333333,189167,1170,0.75,1,TRUE,0.621145935726548,0.621145935726548,0.956924409041409,0.956924409041409,0.0823916816811583,0.325111992461912,-1.5,-1.47683856444488,0.0231614355551179,-1.44024268814869,0.497522096457344,-0.396957096153937,15.6434476217247,15,0.0444390565321364,0.0440757236029167,0.758511669745248,0.256230128680154,0.235185140028519,0.0949562746441192,0.0949648000927552,0.93243217780211,0.0251509884539507,0.996906627827577,0,0,0,0,"continuous_time",0.5,0.8,1,0.451410892465294,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"stable",135.288888888889,0.00333333333333333,135.158888888889,121760,1060,0.75,1,TRUE,0.51149699870215,0.51149699870215,0.95222777581244,0.95222777581244,0.116279029216449,0.522778612142132,-1.5,-1.38237302452216,0.117626975477841,-1.88976474767785,0.49689589674815,-0.387317480125116,15.1847055649943,15,0.0763376955732804,0.0775266755887751,0.924315619890412,0.259215559967755,0.225562863240886,0.119668489484703,0.125737231001068,0.886420894467341,0.0317953997819769,0.999524950626704,0,0,0,0,"continuous_time",0.5,0.8,1,0.478792173148008,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"stable",300.074444444444,0,301.414444444444,270067,2749,0.75,1,TRUE,0.507405497232872,0.507405497232872,0.974655749380437,0.974655749380437,0.123144388289839,0.676309384692229,-1.5,-1.3217756707585,0.178224329241505,-1.38099829821734,0.506518097894061,-0.397618205507102,15.4539923418424,15,0.0445906166289726,0.0449966663724418,0.614859759301878,0.252775616666037,0.238680945782126,0.0899129678817507,0.0912551754373912,0.935903115196422,0.0301906712345502,0.998288639266424,0,0,0,0,"continuous_time",0.5,0.8,1,0.491010886099061,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"stable",211.352222222222,0,211.054444444444,190217,2327,0.75,1,TRUE,0.604229660792987,0.604229660792987,0.985038122793379,0.985038122793379,0.0498672426172887,0.352225591452442,-1.5,-1.39264512661633,0.107354873383673,-1.52751868522126,0.471238363376657,-0.393272280487929,14.7306031989595,15,0.0559355616698536,0.0555894974429261,0.81991120888632,0.261590752730952,0.244712062905024,0.0997441821265951,0.104182869730422,0.92183398548381,0.0232711727378206,0.999578049208655,0,0,0,0,"continuous_time",0.5,0.8,0.999999999999999,0.509936183848333,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"stable",209.346666666667,0,209.465555555555,188412,2534,0.75,1,TRUE,0.596121242016541,0.596121242016541,0.987343152951353,0.987343152951353,0.0345227649660844,0.278204736854449,-1.5,-1.30551431185142,0.194485688148576,-1.45220449604395,0.491306498991524,-0.410231512326992,16.1220723585619,15,0.0573077996978255,0.0557044749026197,0.880664618388528,0.252604339666327,0.227277273724714,0.112674083547713,0.115405070384453,0.892931465441419,0.0349411595739044,0.998650940340834,0,0,0,0,"continuous_time",0.5,0.8,1,0.433517572431339,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"stable",186.411111111111,0,185.816666666667,167770,2078,0.75,1,TRUE,0.577963947536195,0.577963947536195,0.982625408208959,0.982625408208959,0.000734942938633499,0.00549389179196565,-1.5,-1.33928863342915,0.160711366570846,-1.63647567156982,0.516632791219903,-0.39451669468315,14.6933318439913,15,0.0641444830694897,0.0576434836340219,0.94073967416737,0.261538288927094,0.237285485957554,0.111934816650155,0.114657948046433,0.899896991818778,0.033187099465956,0.999603774561178,0,0,0,0,"continuous_time",0.5,0.8,1,0.485235053854418,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"stable",194.322222222222,0,194.292222222222,174890,1183,0.75,1,TRUE,0.581292114562323,0.581292114562323,0.979953169760877,0.979953169760877,0.00686899321755985,0.0472433115008012,-1.5,-1.39399465448332,0.106005345516682,-1.50168677287748,0.503389467739722,-0.399138943990582,14.7722637525131,15,0.0430095510528854,0.0416171710304882,0.844472539755937,0.262406418227967,0.24179834013249,0.099645707344178,0.101830716264264,0.926938401704178,0.0336519222388716,0.996363824215958,0,0,0,0,"continuous_time",0.5,0.8,1,0.466240347271394,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"stable",213.913333333333,0,213.9,192522,1924,0.75,1,TRUE,0.621093186712179,0.621093186712179,0.978151289682437,0.978151289682437,0.0822891835268342,0.440177764918111,-1.5,-1.38473060331912,0.115269396680879,-1.50032388897337,0.506478664321354,-0.412655432916062,15.432163084001,15,0.0519694971731484,0.0488727090061497,0.901919454728667,0.253628306318283,0.236175574437158,0.0975330980970523,0.0995834662197775,0.925903906451628,0.0278709578792929,0.999036538813402,0,0,0,0,"continuous_time",0.5,0.8,0.999999999999999,0.488604066010629,0
