"scenario","subset","n_reps","mean_count_avg","zero_prop_avg","x2_phi_abs_cell_cor_avg","x2_phi_abs_area_mean_cor_avg","beta1_mean_avg","beta2_mean_avg","beta2_mean_sd","r_mean_avg","log_lambda_rmse_avg","cor_log_lambda_avg"
"S3 control","control reps",3,195.05,0,NA,NA,0.4918,-0.4077,0.0089,NA,0.0472,0.734
"S4E spatial/covariate confounding","stable+soft",10,203.971777777778,0.000888888888888889,0.574675094872445,0.975606119494843,0.498187123711407,-0.397652555189357,0.00944232643300023,15.2861156551508,0.056127637807328,0.839297390727281
