"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","r_reference_truth","r_stress_truth","r_ratio_to_reference","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","reference_max_count","kappa_truth_cv","reference_kappa_cv","kappa_cv_increase","r_region_coverage_95","r_region_rmse","r_region_mae","r_region_mean_sd","kappa_rmse","log_kappa_rmse","cor_kappa","cor_log_kappa","kappa_post_mean_cv","s4c_beta_guard_count","s4c_kappa_guard_count","s4c_lambda_input_guard_count","s4c_lambda_output_guard_count"
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",1,100,9,162.454444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.666221989997869,1.81516555879515,-1.67581758101154,-1.68634960599636,0.0206927697616,-1.72679569955612,-1.68551303532972,-1.64525871920646,-0.0105320249848242,1,0.5,0.512204687238744,0.023349064663835,0.469995861030854,0.511433581622231,0.560854605490586,0.0122046872387442,1,-0.4,-0.273372230286584,0.250357710622861,-0.688389830695176,-0.263814348564377,0.0733373414033202,0.126627769713416,1,0.141861666379102,0.985281944112949,8.63506796930677e-17,3,2.89464939652671,-0.105350603473288,2.14812813015803,2.86326709361957,3.77546862854604,0.425787412059106,-3297.97298415538,-4937.98195615153,0.3085,0.303648148148148,12.9763333333333,33.5,0.0747185353184169,0.059348695989107,0.955555555555556,0.0737423768763428,0.0593047908140036,0.955555555555556,0.72327686336081,0.693096422012194,0.0273752446377338,0.0190516454024617,0.0733028090320698,0.666221989997869,1.81516555879515,0.82281905274609,1.46533172602509,"small_r_overdispersion",15,3,0.2,162.68,0,162.454444444445,0,146209,1626,182.810675823126,1.12530424420393,0.907830025659931,0.217474218544002,205.717629389553,134.073593231066,71.6440361584865,534.25,849.2,1440,0.593185688707907,0.266404225218419,0.326781463489488,0.888888888888889,0.441507802439624,0.358452969418922,0.419248320597377,0.143225329657769,0.166353635370346,0.969844859477434,0.968281109019769,0.572850018162271,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",2,100,9,261.798888888889,0.00111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.641218927388333,1.623511272448,-1.4656523234212,-1.48530409190922,0.0199026402655022,-1.52481434653583,-1.48555139510066,-1.44627066968546,-0.0196517684880186,1,0.5,0.514232529864315,0.0210521422805676,0.47316768627308,0.51402883126961,0.555734428218211,0.0142325298643147,1,-0.4,-0.274201282894453,0.35594137105672,-0.932919246021881,-0.23533118999668,0.403254362980302,0.125798717105547,1,0.114745211889534,0.988696239396137,4.33295374888429e-16,3,3.09278305476593,0.0927830547659299,2.30255246188108,3.0649689961143,4.01967812610771,0.352499703854974,-3460.47757097745,-5219.33996563463,0.258425,0.306536111111111,12.9598,214.231000000145,0.0569890838442033,0.0441619815079248,0.976666666666667,0.0571877814779644,0.0440926133725241,0.976666666666667,0.795492778428462,0.779311367587125,0.0247183097907404,0.0166947714849591,0.161752444623134,0.641218927388333,1.623511272448,0.823885302103413,1.43251694995283,"small_r_overdispersion",15,3,0.2,257.365555555555,0,261.798888888888,0.00111111111111111,235619,11338,485.767611073051,1.85549913192801,1.1862096388172,0.669289493110815,901.34138066479,362.137350731907,539.204029932883,867,1550.17,4248,0.561834006096334,0.251481668117987,0.310352337978347,0.777777777777778,0.530084979310645,0.385094036320461,0.440434848703933,0.124054122658299,0.141475323986496,0.975456678689578,0.97548685369462,0.555071457725281,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",3,100,9,187.962222222222,0.00111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.66957094593915,1.44475245341837,-1.78194190506619,-1.75220183268176,0.0188933512803762,-1.78938202354795,-1.7522918585276,-1.7146733867715,0.0297400723844381,1,0.5,0.495673020438961,0.0206932101293772,0.45454992814415,0.495628903988558,0.536437789511863,-0.00432697956103945,1,-0.4,-0.590023534580698,0.22331857940998,-0.932659530152453,-0.625481697143917,-0.095492836470329,-0.190023534580698,1,0.174677464223235,0.983840063831696,9.86864910777917e-17,3,3.47612916860336,0.47612916860336,2.5336979460998,3.43731806303602,4.62108695317703,0.145190130784118,-3357.21359203501,-4980.58302839879,0.2471,0.305522222222222,13.080575,214.360000000102,0.0704550178530089,0.049918349509035,0.96,0.071156931188937,0.0501325563375549,0.96,0.570546003262068,0.590512251339223,0.0261722189635882,0.0182479973802358,0.170260239530812,0.66957094593915,1.44475245341837,0.853073299338951,1.13263398318839,"small_r_overdispersion",15,3,0.2,182.707777777778,0,187.962222222222,0.00111111111111111,169166,1997,227.089699475691,1.2081667091976,1.01349795354271,0.194668755654896,274.362214908218,187.673428368315,86.6887865399027,658.649999999999,979.689999999999,1695,0.57147030228633,0.2643776591617,0.307092643124629,0.888888888888889,1.12734813407681,0.686915662803269,0.533925905712187,0.172360923492643,0.18134255345808,0.957987592643446,0.955726261624557,0.550012320647143,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",4,100,9,131.238888888889,0.06,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.148714873349531,4.92023393746212,-2.28036627476399,-2.32510224935808,0.0261090082484843,-2.37474317080179,-2.32531423551383,-2.27420191463583,-0.0447359745940936,1,0.5,0.49837308790671,0.0211271490833338,0.457357879803486,0.498400148200731,0.540388061794817,-0.00162691209329036,1,-0.4,1.02301911265824,0.466916716102557,0.252503758749356,1.08907481796544,1.87076501554315,1.42301911265824,0,1.4319249791462,0.751585551431554,5.9211894646675e-16,3,3.06063147814295,0.0606314781429513,2.18914032056883,3.00794224909893,4.24931066824659,0.0353250085855936,-3028.27972319463,-4455.02308919846,0.2607,0.31135,12.930425,219.239999999991,0.20784786836879,0.0971779250495727,0.978888888888889,0.139421435092483,0.0821150903644288,0.978888888888889,0.856328497884325,0.898731375318556,0.0839822378285541,0.0341522460830577,0.306480174904186,0.148714873349531,4.92023393746212,0.203854080181099,3.97885816628615,"small_r_overdispersion",15,3,0.2,133.436666666667,0.0522222222222222,131.238888888889,0.06,118115,2381,164.060908813667,1.25009370471405,0.966980546645008,0.283113158069044,205.091509297631,124.770138987668,80.3213703099626,423,674.21,793,0.576570042937448,0.264378044608359,0.312191998329089,0.888888888888889,0.656761575634501,0.381106267248908,0.541605754867743,0.231900525546042,0.260186765586647,0.913741402503717,0.909455135801164,0.546072658183144,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",5,100,9,333.654444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.741994020858652,1.28535281026071,-1.37314237558449,-1.38700907450005,0.0193295115865965,-1.42437933667813,-1.3869926589699,-1.3495732099422,-0.0138666989155571,1,0.5,0.497131009380385,0.0201588639705384,0.458193383623178,0.497011046385317,0.536271997611762,-0.00286899061961499,1,-0.4,-0.579745416208411,0.189160104675459,-1.02353059269513,-0.572145922679191,-0.18537217989815,-0.179745416208411,1,0.173413040268694,0.944863225846504,-1.78869265078497e-16,3,3.20176988154565,0.201769881545651,2.39644750664975,3.17840400836887,4.12489088502384,1.11687335380454,-3616.16055585831,-5505.69744479645,0.267925,0.299525,13.003225,213.263999999966,0.0579367830198952,0.046408181229755,0.937777777777778,0.0574603255834483,0.0462268013834406,0.937777777777778,0.700745891005193,0.704022708316922,0.0188343483796397,0.013477500446239,0.20311748731741,0.741994020858652,1.28535281026071,0.777947492419084,1.17224578193718,"small_r_overdispersion",15,3,0.2,332.278888888889,0,333.654444444444,0,300289,5450,419.108356907922,1.25611501326099,0.955551748684324,0.300563264576667,526.448299295186,303.396923573391,223.051375721795,1091.3,1835.21,2576,0.567865730850437,0.251583843525454,0.316281887324982,0.888888888888889,0.467845985164355,0.367997054458028,0.444365611186095,0.115040560651006,0.125735474649815,0.978989075363568,0.979721111912642,0.554629358442644,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",6,100,9,179.644444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.761261087000651,1.29270978852057,-1.7511894022961,-1.73261012296958,0.0192431328791288,-1.77029150410113,-1.73211190833548,-1.6946533133847,0.0185792793265169,1,0.5,0.504181428020286,0.0202098856422572,0.464636217415483,0.504329258229194,0.542967482630791,0.00418142802028598,1,-0.4,-0.398204639557686,0.234786260387875,-0.735325515688641,-0.435202937018062,0.288992187343478,0.00179536044231404,1,0.0481505865954418,0.994394381208044,6.46088121274918e-16,3,3.13347352696896,0.13347352696896,2.32937643877688,3.10460231105891,4.07887368397862,0.841643300173766,-3375.71513071605,-5040.4948617519,0.26125,0.300369444444444,12.96835,212.818999999901,0.0692968418729972,0.0549055996266498,0.941111111111111,0.0688768149222653,0.0548113307717511,0.941111111111111,0.736521546576339,0.739205302404855,0.0225874253314055,0.0171131379959543,0.144826999993486,0.761261087000651,1.29270978852057,0.839205651117842,1.16955251310074,"small_r_overdispersion",15,3,0.2,172.447777777778,0,179.644444444444,0,161680,2603,231.678362020498,1.2896494669622,0.977742769536063,0.311906697426134,298.78387608641,164.856785834838,133.927090251572,606.05,1079.56,1411,0.585163215941234,0.26379508596029,0.321368129980943,0.888888888888889,0.496080928815351,0.32383653675771,0.445849050941096,0.143630288361592,0.159495391602662,0.971375788225232,0.966189923063251,0.567661250942554,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",7,100,9,182.795555555556,0.0622222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,4.20716072856158e-281,1.02906146131891e+26,-8.325081040253,-2.57876812688202,0.133789809192015,-2.80254270248657,-2.59333249061756,-2.27555193326298,5.74631291337099,0,0.5,0.532255985262589,0.0234743447499207,0.486041645689209,0.532169316029271,0.578519957910158,0.0322559852625893,1,-0.4,-4.96003925323263,0.0427454637465497,-4.99908626958601,-4.97481704769684,-4.83545110745502,-4.56003925323263,0,15.4527333071021,0.762292363064517,1.38161087508908e-15,3,2.79266173577547,-0.207338264224532,2.0715556347556,2.76472367195721,3.66333726275451,0.00912121618462795,-3172.49941804206,-4794.61910565718,0.257075,0.301005555555556,12.909,217.108000000007,1.38608699351474e+25,3.13912344380439e+24,0.826666666666667,54.3540395784026,10.2815524251045,0.826666666666667,0.662498293663659,0.730604630992092,13.096368494038,0.845629898459659,0.0866582809388515,4.20716072856158e-281,1.02906146131891e+26,0.00160964635845165,1331.5165646476,"small_r_overdispersion",15,3,0.2,185.008888888889,0.0555555555555556,182.795555555555,0.0622222222222222,164516,1580,218.008894467606,1.19263782866619,0.953553876575149,0.239083952091038,260.005654527762,168.222106528842,91.7835479989199,619.4,1075.09,1324,0.564157339244969,0.256022901722496,0.308134437522472,0.777777777777778,0.983653291473481,0.613098601366926,0.411248523310547,1.21957494811244,0.461714966563338,0.413934256053466,0.775406617359648,1.1408358378123,4373,0,0,619350
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",8,100,9,134.787777777778,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.562307034891257,1.47304675861128,-1.8570761548057,-1.85280231433737,0.0193375979237008,-1.88976131667828,-1.85283626957196,-1.81513585240966,0.00427384046832957,1,0.5,0.43913072124804,0.0207305454433412,0.398512146211066,0.439243135653275,0.47956246919833,-0.0608692787519599,0,-0.4,0.10238746519407,0.292994560941434,-0.512752160254967,0.180055235863526,0.580345401565462,0.50238746519407,1,0.524636499166646,0.830552848056967,2.89891567541013e-16,3,3.24520979484581,0.245209794845806,2.41237202100833,3.21650008112419,4.2552508678774,0.33143841070804,-3237.9949045797,-4759.43380755272,0.25895,0.299425,13.057625,214.740999999922,0.0951269694709718,0.0719381016938745,0.901111111111111,0.0960736109914053,0.0721879198236835,0.901111111111111,0.798738818184377,0.808781689048192,0.028187610904236,0.0202400584191857,0.209592668084404,0.562307034891257,1.47304675861128,0.797033704978629,1.26002870912467,"small_r_overdispersion",15,3,0.2,137.595555555556,0,134.787777777777,0,121309,1296,148.527643991074,1.10193703345973,0.964411701775525,0.137525331684207,163.668111406287,127.976240706743,35.6918706995441,433.5,678.34,979,0.568342752347621,0.262656309115848,0.305686443231773,0.777777777777778,0.631461178715388,0.503760804018636,0.471113112730944,0.186759990291925,0.187213542823699,0.944919244226373,0.952263841671743,0.546080972022742,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",9,100,9,250.093333333333,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.780774909435344,1.24258812596504,-1.46259269926043,-1.46332594726578,0.01992385091416,-1.50203438430098,-1.463428336026,-1.42330219808641,-0.000733248005345244,1,0.5,0.504545568159263,0.0212070165312606,0.462854604317572,0.504560231271311,0.546730194332579,0.00454556815926255,1,-0.4,-0.539573719481383,0.162585098137971,-0.807232235394918,-0.560682273781007,-0.222189121060567,-0.139573719481383,1,0.126038038372847,0.962457646851151,-2.4980018054066e-16,3,2.88469237179406,-0.115307628205939,2.16028059213387,2.86055423778469,3.72971069068542,1.40157433963673,-3460.82754905054,-5247.85566029175,0.279,0.304605555555556,12.89395,211.673000000184,0.0554971741721989,0.0440578940708548,0.942222222222222,0.0558436722275714,0.0441935544622197,0.942222222222222,0.645312000525373,0.643770105434378,0.0199472836928114,0.0149334734452767,0.0851118640078351,0.780774909435344,1.24258812596504,0.850758891984693,1.1200380249377,"small_r_overdispersion",15,3,0.2,242.872222222223,0,250.093333333334,0,225084,3665,397.474457746184,1.58930449064156,1.32399889747703,0.265305593164524,631.707940611328,425.748467561725,205.959473049603,977.35,2256.13,3306,0.595184006865941,0.260393108392026,0.334790898473914,1,0.323898014002618,0.267715899832728,0.402866814575828,0.123285877754627,0.13696871838409,0.978460433471186,0.977265444949163,0.585969820178722,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_T100",10,100,9,281.515555555556,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.8155914724962,1.40511102208183,-1.29605021652164,-1.29335848188184,0.0195126928287321,-1.33228043109418,-1.29333646962069,-1.25540929618244,0.00269173463979921,1,0.5,0.524527498496779,0.0209808002686612,0.48263605370034,0.5247997076948,0.566277051496344,0.0245274984967789,1,-0.4,-0.446643583174301,0.107203624383539,-0.670420152649094,-0.446557615963262,-0.228121025955772,-0.0466435831743008,1,0.0584886066566531,0.988516881232531,-1.33573707650214e-16,3,3.06308115714665,0.0630811571466494,2.2821183302949,3.0414685731129,3.96422574251924,2.20448960670539,-3572.74441855367,-5439.28891882761,0.27615,0.310675,13.019075,212.421000000089,0.0579370508458695,0.0430355360236715,0.971111111111111,0.0559720874231579,0.0424490689718632,0.971111111111111,0.626381458860676,0.634917776815432,0.0180242611282533,0.0134799794357093,0.135242886923773,0.8155914724962,1.40511102208183,0.910419500852856,1.10044404355619,"small_r_overdispersion",15,3,0.2,283.385555555555,0,281.515555555556,0,253364,3476,328.960186017509,1.16853289108065,1.02663911923557,0.141893771845077,384.400797217469,298.68494124704,85.7158559704292,886.1,1451.76,2236,0.555135387832386,0.25389060400284,0.301244783829546,1,0.285356171530967,0.225524008704735,0.427486761187419,0.108567185659222,0.122405717505456,0.980677934807434,0.981424111761751,0.545197485823469,0,0,0,0
