"scenario_id","rep_id","data_file","stress_type","r_reference_truth","r_stress_truth","r_ratio_to_reference","mean_count","reference_mean_count","median_count","zero_prop","reference_zero_prop","total_count","max_count","reference_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","kappa_cv","reference_kappa_cv","kappa_cv_increase","beta0_star_ident","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max"
"S4C_STRONG_OVERDISPERSION_T100",1,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep01.rds","small_r_overdispersion",15,3,0.2,162.454444444445,162.68,102.5,0,0,146209,1626,1440,182.810675823126,1.12530424420393,0.907830025659931,0.217474218544002,205.717629389553,134.073593231066,71.6440361584865,534.25,849.2,0.593185688707907,0.266404225218419,0.326781463489488,-1.67581758101154,0.0842390914207052,1.6098143768284,0.666221989997869,1.81516555879515
"S4C_STRONG_OVERDISPERSION_T100",2,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep02.rds","small_r_overdispersion",15,3,0.2,261.798888888888,257.365555555555,139,0.00111111111111111,0,235619,11338,4248,485.767611073051,1.85549913192801,1.1862096388172,0.669289493110815,901.34138066479,362.137350731907,539.204029932883,867,1550.17,0.561834006096334,0.251481668117987,0.310352337978347,-1.4656523234212,0.198607790466504,1.66174106327009,0.641218927388333,1.623511272448
"S4C_STRONG_OVERDISPERSION_T100",3,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep03.rds","small_r_overdispersion",15,3,0.2,187.962222222222,182.707777777778,110.5,0.00111111111111111,0,169166,1997,1695,227.089699475691,1.2081667091976,1.01349795354271,0.194668755654896,274.362214908218,187.673428368315,86.6887865399027,658.649999999999,979.689999999999,0.57147030228633,0.2643776591617,0.307092643124629,-1.78194190506619,0.0354830172011052,2.18576446461718,0.66957094593915,1.44475245341837
"S4C_STRONG_OVERDISPERSION_T100",4,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep04.rds","small_r_overdispersion",15,3,0.2,131.238888888889,133.436666666667,88,0.06,0.0522222222222222,118115,2381,793,164.060908813667,1.25009370471405,0.966980546645008,0.283113158069044,205.091509297631,124.770138987668,80.3213703099626,423,674.21,0.576570042937448,0.264378044608359,0.312191998329089,-2.28036627476399,0.000473344384043854,1.46026670956317,0.148714873349531,4.92023393746212
"S4C_STRONG_OVERDISPERSION_T100",5,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep05.rds","small_r_overdispersion",15,3,0.2,333.654444444444,332.278888888889,194,0,0,300289,5450,2576,419.108356907922,1.25611501326099,0.955551748684324,0.300563264576667,526.448299295186,303.396923573391,223.051375721795,1091.3,1835.21,0.567865730850437,0.251583843525454,0.316281887324982,-1.37314237558449,0.605029805921024,1.68177691088246,0.741994020858652,1.28535281026071
"S4C_STRONG_OVERDISPERSION_T100",6,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep06.rds","small_r_overdispersion",15,3,0.2,179.644444444444,172.447777777778,106,0,0,161680,2603,1411,231.678362020498,1.2896494669622,0.977742769536063,0.311906697426134,298.78387608641,164.856785834838,133.927090251572,606.05,1079.56,0.585163215941234,0.26379508596029,0.321368129980943,-1.7511894022961,0.288226577457566,1.60408648714487,0.761261087000651,1.29270978852057
"S4C_STRONG_OVERDISPERSION_T100",7,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep07.rds","small_r_overdispersion",15,3,0.2,182.795555555555,185.008888888889,108.5,0.0622222222222222,0.0555555555555556,164516,1580,1324,218.008894467606,1.19263782866619,0.953553876575149,0.239083952091038,260.005654527762,168.222106528842,91.7835479989199,619.4,1075.09,0.564157339244969,0.256022901722496,0.308134437522472,-8.325081040253,2.2250738585072e-308,1.65725419267295,4.20716072856158e-281,1.02906146131891e+26
"S4C_STRONG_OVERDISPERSION_T100",8,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep08.rds","small_r_overdispersion",15,3,0.2,134.787777777777,137.595555555556,83.5,0,0,121309,1296,979,148.527643991074,1.10193703345973,0.964411701775525,0.137525331684207,163.668111406287,127.976240706743,35.6918706995441,433.5,678.34,0.568342752347621,0.262656309115848,0.305686443231773,-1.8570761548057,0.102236345553197,1.63562877573759,0.562307034891257,1.47304675861128
"S4C_STRONG_OVERDISPERSION_T100",9,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep09.rds","small_r_overdispersion",15,3,0.2,250.093333333334,242.872222222223,123.5,0,0,225084,3665,3306,397.474457746184,1.58930449064156,1.32399889747703,0.265305593164524,631.707940611328,425.748467561725,205.959473049603,977.35,2256.13,0.595184006865941,0.260393108392026,0.334790898473914,-1.46259269926043,0.552229257466157,1.35161792767436,0.780774909435344,1.24258812596504
"S4C_STRONG_OVERDISPERSION_T100",10,"./data_s4c_overdispersion/S4C_STRONG_OVERDISPERSION_T100/data_rep10.rds","small_r_overdispersion",15,3,0.2,281.515555555556,283.385555555555,174,0,0,253364,3476,2236,328.960186017509,1.16853289108065,1.02663911923557,0.141893771845077,384.400797217469,298.68494124704,85.7158559704292,886.1,1451.76,0.555135387832386,0.25389060400284,0.301244783829546,-1.29605021652164,0.784014796234997,1.87467324440051,0.8155914724962,1.40511102208183
