"subset","n_reps","mean_count_avg","zero_prop_avg","beta1_mean_avg","beta1_mean_sd","beta2_mean_avg","beta2_mean_sd","beta0_coverage","beta1_coverage","beta2_coverage","r_mean_avg","phi_rmse_avg","phi_cor_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","beta_guard_total","kappa_guard_total","lambda_output_guard_total"
"all_sampled_lambda",10,2.999,0.241888888888889,0.518971647778127,0.0317839577990958,-0.251607975071357,2.57463764230698,0.3,0.8,0.4,16.909380103668,11758.88003098,0.61467202188532,1.38608699351474e+24,2.12166508338269,0.361342248233846,40133,402,2613815
"stable_only",6,2.81722222222222,0.239814814814815,0.510184834638872,0.0322860051193547,-1.12062191007391,1.77613048381314,0.333333333333333,1,0.666666666666667,17.1087702758915,1.47613298579321,0.636779863764613,0.24031717545728,0.214965997564879,0.377405811109263,0,0,0
"stable_plus_soft_warning",8,3.16916666666667,0.222777777777778,0.51139828253018,0.0283395150280178,-0.67487817991245,2.5284376281788,0.375,1,0.5,17.1816591092129,1.97051078165783,0.557778752962163,0.232468750486275,0.20577160581653,0.434949904227358,58,0,0
"numerical_instability",2,2.31833333333333,0.318333333333333,0.549265108769913,0.0342906478366527,1.44147284429301,2.78236345096653,0,0,0,15.8202640814881,58786.5181117733,0.842245097577948,6.93043496757371e+24,9.78523899364732,0.0669116242598004,40075,402,2613815
