"scenario_id","rep_id","fit_status","nonfailed","stable_fit","mean_count","zero_prop","beta0_mean","beta1_mean","beta2_mean","r_mean","lambda_rmse","log_lambda_rmse","cor_log_lambda","s4a_beta_guard_count","s4a_kappa_guard_count","s4a_lambda_input_guard_count","s4a_lambda_output_guard_count"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,"stable",TRUE,TRUE,2.38555555555556,0.272222222222222,-5.9784934042297,0.529680440712884,0.891325194941296,14.1438736664037,0.271879834455367,0.236402332420993,0.28026892715919,0,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,"soft_warning",TRUE,FALSE,3.58444444444444,0.203333333333333,-5.8260780588999,0.501352370096431,-2.81681938009825,20.6961028134249,0.262186789172635,0.224876437493268,0.511666146184089,11,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,"stable",TRUE,TRUE,2.59777777777778,0.26,-6.1336440571224,0.53754843857527,-1.35193385237582,17.3061798611154,0.302561508426479,0.236806661699205,0.385747609170754,0,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,"numerical_instability",FALSE,FALSE,1.96444444444444,0.356666666666667,-7.42237535725345,0.57351225838649,3.40890090819705,13.9689849940383,1470.70017521552,2.40641745895383,-0.117713037535966,92,1,0,313692
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,"soft_warning",TRUE,FALSE,4.86555555555556,0.14,-5.62695063086459,0.528724882311778,4.14152540124212,14.1045484049295,0.15566016197389,0.131500423649697,0.703498220979194,47,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,"stable",TRUE,TRUE,2.36111111111111,0.248888888888889,-6.11018491483866,0.501539429437126,-3.41442245786674,17.3191992467975,0.208912065534869,0.188740630527095,0.386328750667701,0,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,"numerical_instability",FALSE,FALSE,2.67222222222222,0.28,-41579.5022762862,0.525017959153336,-0.525955219611027,17.6715431689379,1.38608699351474e+25,17.1640605283408,0.251536286055566,39983,401,0,2300123
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,"stable",TRUE,TRUE,1.92444444444444,0.315555555555556,-6.2413192424276,0.513291271135326,-2.98389923995544,17.63431007084,0.30349810630574,0.288941049809379,0.539731533753832,0,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,"stable",TRUE,TRUE,3.48444444444444,0.185555555555556,-5.71011360360874,0.449869884477863,-0.171876814224983,17.1846001836385,0.175798598660526,0.175376654168903,0.29764875155585,0,0,0,0
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",10,"stable",TRUE,TRUE,4.15,0.156666666666667,-5.59774274867721,0.52917954349476,0.307075709038211,19.064458626554,0.179252939360696,0.1635286567637,0.374709294348251,0,0,0,0
