"scenario_id","rep_id","TT","n1","mean_count","zero_prop","stress_type","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_total_count","observed_max_count","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_fixed_mean","gamma_fixed_sd","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_coverage","r_true_mean","r_mean","r_rmse","r_mean_bias","r_coverage","lambda_rmse","lambda_coverage_95","log_lambda_rmse","log_lambda_coverage_95","cor_log_lambda","cor_delta_log_lambda","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","s4a_beta_guard_count","s4a_kappa_guard_count","s4a_lambda_input_guard_count","s4a_lambda_output_guard_count","fit_status","nonfailed","stable_fit"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,100,9,2.38555555555556,0.272222222222222,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2147,19,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.666221989997869,1.81516555879515,0.43539466660689,2.51334508874589,-5.92581758101154,-5.9784934042297,0.036531071764028,-6.05071443525872,-5.90868832725634,-0.052675823218161,1,0.5,0.529680440712884,0.0332956467086312,0.46257558268467,0.594506915474834,0.0296804407128841,1,-0.4,0.891325194941296,0.683997728370982,-0.664926396883882,1.9897564551462,1.2913251949413,1,1.31003810849927,0.609701853900163,1,15,14.1438736664037,2.2975292373692,-0.856126333596324,1,0.271879834455367,0.988888888888889,0.236402332420993,0.988888888888889,0.28026892715919,0.0511200114693879,0.255525,0.311252777777778,12.4949,229.895000000019,0,0,0,0,"stable",TRUE,TRUE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,100,9,3.58444444444444,0.203333333333333,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3226,54,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.641218927388333,1.623511272448,0.303010061977854,2.70421006174407,-5.7156523234212,-5.8260780588999,0.0334785987894108,-5.89188309548143,-5.76032310679333,-0.110425735478705,0,0.5,0.501352370096431,0.0251170291493513,0.453752124839259,0.549643580768633,0.00135237009643097,1,-0.4,-2.81681938009825,1.15235147409887,-4.63256418560645,-0.618036462903844,-2.41681938009825,0,2.36848790591625,0.0927598386941789,0.111111111111111,15,20.6961028134249,8.77205836453101,5.69610281342488,0.888888888888889,0.262186789172635,0.996666666666667,0.224876437493268,0.996666666666667,0.511666146184089,0.114842838740464,0.263575,0.308763888888889,12.77935,226.165999999968,11,0,0,0,"soft_warning",TRUE,FALSE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,100,9,2.59777777777778,0.26,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2338,20,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.66957094593915,1.44475245341837,0.441557294145875,3.54987257396643,-6.03194190506619,-6.1336440571224,0.039615005716799,-6.2125785174571,-6.05809222929173,-0.101702152056209,0,0.5,0.53754843857527,0.0294290133984659,0.480237935121844,0.596292860332537,0.0375484385752698,1,-0.4,-1.35193385237582,0.737355729792502,-2.79243886890714,0.147822193711087,-0.951933852375819,1,0.941029501353223,0.797806155433516,1,15,17.3061798611154,4.67104667507739,2.30617986111536,1,0.302561508426479,0.995555555555556,0.236806661699205,0.995555555555556,0.385747609170754,0.0877334054017033,0.25125,0.311841666666667,12.570925,226.652000000002,0,0,0,0,"stable",TRUE,TRUE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,100,9,1.96444444444444,0.356666666666667,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1768,23,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.148714873349531,4.92023393746212,0.351902623318501,20406.5472012546,-6.53036627476399,-7.42237535725345,0.185016584276863,-7.7853343550582,-7.05278101619745,-0.892009082489464,0,0.5,0.57351225838649,0.0342321402297069,0.508819763299064,0.640133118397931,0.0735122583864902,0,-0.4,3.40890090819705,1.32161049637193,0.990213482609193,4.96022563250101,3.80890090819705,0,4.10890987370793,0.684611969860391,0,15,13.9689849940383,4.8324027076435,-1.03101500596167,1,1470.70017521552,0.952222222222222,2.40641745895383,0.952222222222222,-0.117713037535966,-0.17264445401412,0.3023,0.313544444444444,12.16305,225.994000000181,92,1,0,313692,"numerical_instability",FALSE,FALSE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,100,9,4.86555555555556,0.14,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,4379,41,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.741994020858652,1.28535281026071,0.600469890636166,2.12083574256967,-5.6231423755845,-5.62695063086459,0.0264090751763193,-5.67999746692743,-5.57572488935449,-0.00380825528009687,1,0.5,0.528724882311778,0.0262600554443231,0.477050134167059,0.579086582651903,0.0287248823117782,1,-0.4,4.14152540124212,0.461546787930641,3.24741866193724,4.95597442994994,4.54152540124212,0,4.53880043258716,0.548791002415445,0,15,14.1045484049295,2.96121962264874,-0.895451595070489,1,0.15566016197389,1,0.131500423649697,1,0.703498220979194,0.143067077992922,0.285125,0.307863888888889,12.932575,227.945000000065,47,0,0,0,"soft_warning",TRUE,FALSE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,100,9,2.36111111111111,0.248888888888889,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2125,21,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.761261087000651,1.29270978852057,0.536504216635468,1.85640762778304,-6.0011894022961,-6.11018491483866,0.032647493060944,-6.17661089089192,-6.04757158932794,-0.108995512542569,0,0.5,0.501539429437126,0.0319002104891845,0.439220225493089,0.5633863984251,0.00153942943712593,1,-0.4,-3.41442245786674,0.548769551152974,-4.36317748293701,-2.37604427622537,-3.01442245786674,0,2.97425758160571,0.081748426318829,0,15,17.3191992467975,3.59335874905277,2.31919924679746,1,0.208912065534869,1,0.188740630527095,1,0.386328750667701,0.0418645385883956,0.30275,0.304266666666667,12.314875,224.996000000043,0,0,0,0,"stable",TRUE,TRUE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,100,9,2.67222222222222,0.28,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2405,23,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,4.20716072856158e-281,1.02906146131891e+26,5.47312588826961e-05,106090373.029961,-12.575081040253,-41579.5022762862,7999.3811328179,-54741.5441963874,-28412.3635926229,-41566.9271952459,0,0.5,0.525017959153336,0,0.525017959153336,0.525017959153336,0.0250179591533364,0,-0.4,-0.525955219611027,0,-0.525955219611027,-0.525955219611027,-0.125955219611027,0,117568.927313673,0.999878225295506,0,15,17.6715431689379,4.63843348682354,2.67154316893787,1,1.38608699351474e+25,0.885555555555556,17.1640605283408,0.885555555555556,0.251536286055566,-0.00444962822956765,0.2715,0.302025,13.239875,224.146999999881,39983,401,0,2300123,"numerical_instability",FALSE,FALSE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,100,9,1.92444444444444,0.315555555555556,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1732,14,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.562307034891257,1.47304675861128,0.30424813577739,2.54300920342198,-6.1070761548057,-6.2413192424276,0.0408126606226721,-6.32392347171028,-6.16066522216643,-0.134243087621899,0,0.5,0.513291271135326,0.0355350663129634,0.446428493233243,0.585399186225072,0.0132912711353264,1,-0.4,-2.98389923995544,0.66643525473135,-4.11922902376025,-1.54775780430658,-2.58389923995544,0,2.64495357642849,0.773236618753665,0,15,17.63431007084,5.15805787912834,2.63431007084001,1,0.30349810630574,0.995555555555556,0.288941049809379,0.995555555555556,0.539731533753832,0.0535638002564443,0.27205,0.3069,12.4031,235.253000000026,0,0,0,0,"stable",TRUE,TRUE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,100,9,3.48444444444444,0.185555555555556,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3136,52,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.780774909435344,1.24258812596504,0.376891865190687,1.71499258938813,-5.71259269926043,-5.71011360360874,0.0279036688094345,-5.76559454809184,-5.65702226745773,0.00247909565168491,1,0.5,0.449869884477863,0.0263420957997605,0.399378230161392,0.500033649484456,-0.0501301155221373,1,-0.4,-0.171876814224983,0.525202911574458,-0.877413877418481,0.990907527551555,0.228123185775017,1,0.219571220807033,0.949834185059241,1,15,17.1846001836385,6.15093250841628,2.18460018363852,1,0.175798598660526,0.99,0.175376654168903,0.99,0.29764875155585,0.0800192068296313,0.260125,0.313391666666667,12.8716,228.959000000032,0,0,0,0,"stable",TRUE,TRUE
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",10,100,9,4.15,0.156666666666667,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3735,39,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8155914724962,1.40511102208183,0.599041687257938,2.1344599460788,-5.54605021652164,-5.59774274867721,0.0267370751009826,-5.65019009511167,-5.54629197154292,-0.051692532155573,0,0.5,0.52917954349476,0.0268824726675385,0.475666703618561,0.581331760532972,0.0291795434947603,1,-0.4,0.307075709038211,0.611601896527629,-0.900734444785388,1.49086200876053,0.707075709038211,1,0.766947926065538,0.608351943122267,1,15,19.064458626554,7.13703578140894,4.06445862655402,1,0.179252939360696,0.995555555555556,0.1635286567637,0.995555555555556,0.374709294348251,0.138365214349918,0.244025,0.307158333333333,12.921925,227.226999999955,0,0,0,0,"stable",TRUE,TRUE
