"rep_id","scenario_id","region","truth","mean","q025","q50","q975","bias","covered","fit_status","nonfailed","stable_fit"
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,0.347423453850244,1.69780039825685,0.310407109082123,1.74580806976294,2.69777291107018,1.3503769444066,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,0.39810663692474,1.56851241844548,0.181208694375487,1.61382114415719,2.5733842484835,1.17040578152074,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,0.0316126608406939,1.19564774394601,-0.192955691228355,1.23558525388212,2.19039506555767,1.16403508310532,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,-0.40482701282168,0.738072599627601,-0.654091492095509,0.789722273228356,1.76537201058216,1.14289961244928,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,0.129680807527641,1.14729422419536,-0.252128049617245,1.19491758292053,2.15705731157616,1.01761341666771,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,0.335617486627018,-1.21425351005713,-2.48337048819861,-1.26714056012363,0.530966492774905,-1.54987099668415,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,-2.10301749056027,-3.55423863503353,-4.85650271109156,-3.62261992356842,-1.7907504654538,-1.45122114447326,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,0.790740102977108,-0.59458955811176,-1.8364150194956,-0.647190594204156,1.13741058506175,-1.38532966108887,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,0.474663354634508,-0.984245681268876,-2.23574360558781,-1.03458326884504,0.760057674714063,-1.45890903590338,1,"stable",TRUE,TRUE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,0.766480156862507,5.39522418745191,1.28403448188449,5.27958931861215,8.82001088163538,4.6287440305894,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,-1.43486106421037,2.78542905809531,-1.3440154060014,2.68684916528908,6.26685849935103,4.22029012230568,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,1.26585755549028,0.0758577884934567,-0.913876625008842,0.104552961616569,1.25661687005383,-1.18999976699682,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,0.157059131577065,-0.937687281375578,-1.94784171122064,-0.915746024904847,0.257521989401445,-1.09474641295264,1,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,-0.280443566282791,-1.52683856318413,-2.54059075812533,-1.50586446268511,-0.347088411806381,-1.24639499690134,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,0.0978481289769146,-1.14259360085677,-2.14665604286692,-1.1222943528326,0.0381504846253927,-1.24044172983368,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,-0.293457550451707,-1.68441805223246,-2.7276337529853,-1.68530662890934,-0.491163859667654,-1.39096050178075,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,-0.313052599369824,-1.68220088734402,-2.70376468217112,-1.67045738284063,-0.503670130334262,-1.3691482879742,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,0.0345698074079279,-1.28277264904769,-2.28609424489024,-1.25940188913282,-0.092141632437093,-1.31734245645562,0,"soft_warning",TRUE,FALSE
3,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,-0.0799621798454845,-0.708208600431954,-1.7266405037045,-0.7516100697113,0.35901276851701,-0.62824642058647,1,"stable",TRUE,TRUE
