"scenario_id","rep_id","x2_mode","sd_x1","sd_x2","cor_x1_x2","cor_x2_loglambda","cor_x1_loglambda","cor_x2_phi","cor_x1_phi","sd_beta2_x2"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,"binary_region",1,0.999999999999995,-0.05609249440084,-3.77166135724117e-16,0.14963056832275,-0.139267003308026,-0.0370238048152565,0.399999999999993
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,"binary_region",1,0.99999999999997,-0.0513204950614221,5.51488241404676e-17,-0.0283007985103829,-0.251317482851563,0.0417812116593435,0.399999999999991
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,"binary_region",1,0.999999999999995,0.0819544383423747,-9.95097568430896e-16,0.0470952006021242,0.234821125958519,0.0618962369197144,0.4
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,"binary_region",1,1,0.0516692285390306,-6.19635242714867e-17,-0.0130742145134696,0.14792906594974,0.0281066377478643,0.400000000000003
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,"binary_region",1,1,0.102233782085394,-2.5113956322121e-16,0.00746217368340711,-0.467558440200257,-0.0890153164767596,0.400000000000001
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,"binary_region",1,1.00000000000002,0.0502914600005505,1.14141217915613e-16,-0.0902072871044109,-0.0799962262869335,-0.0597900247037506,0.399999999999997
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,"binary_region",1,1,0.0326974144682009,-0.26154858966865,0.0900007056950207,0.315351574552876,-0.0721997370004939,0.400000000000004
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,"binary_region",1,0.999999999999993,-0.0330407642132313,-5.1342508645402e-16,0.0227903254434365,0.578980366231521,-0.00550785204519432,0.399999999999995
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,"binary_region",1,0.99999999999999,0.0423466586535273,-1.33050938424524e-16,0.117067920449387,-0.398284379943523,0.0493410626410448,0.399999999999995
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",10,"binary_region",1,1,-0.092031039528625,6.03535401248384e-17,-0.0186327649795581,-0.20806188749825,-0.0225662422793078,0.400000000000006
