"scenario","beta0_bias_old","beta1_bias_old","beta2_bias_old","beta0_rmse_old","beta1_rmse_old","beta2_rmse_old","beta0_coverage95_old","beta1_coverage95_old","beta2_coverage95_old","ess_per_sec_beta0_old","ess_per_sec_beta1_old","ess_per_sec_beta2_old","baseline_logrisk_bias_old","baseline_logrisk_rmse_old","baseline_logrisk_coverage95_old","loglambda_rmse_old","loglambda_coverage95_old","ppc_mean_bias_old","ppc_mean_rmse_old","ppc_coverage90_old","ppc_coverage95_old","observed_zero_prop_old","predicted_zero_prop_old","logkappa_eta_cor_mean_old","logkappa_eta_abs_cor_mean_old","logkappa_eta_slope_mean_old","beta0_bias_revised_common_reps","beta1_bias_revised_common_reps","beta2_bias_revised_common_reps","beta0_rmse_revised_common_reps","beta1_rmse_revised_common_reps","beta2_rmse_revised_common_reps","beta0_coverage95_revised_common_reps","beta1_coverage95_revised_common_reps","beta2_coverage95_revised_common_reps","ess_per_sec_beta0_revised_common_reps","ess_per_sec_beta1_revised_common_reps","ess_per_sec_beta2_revised_common_reps","baseline_logrisk_bias_revised_common_reps","baseline_logrisk_rmse_revised_common_reps","baseline_logrisk_coverage95_revised_common_reps","loglambda_rmse_revised_common_reps","loglambda_coverage95_revised_common_reps","ppc_mean_bias_revised_common_reps","ppc_mean_rmse_revised_common_reps","ppc_coverage90_revised_common_reps","ppc_coverage95_revised_common_reps","observed_zero_prop_revised_common_reps","predicted_zero_prop_revised_common_reps","logkappa_eta_cor_mean_revised_common_reps","logkappa_eta_abs_cor_mean_revised_common_reps","logkappa_eta_slope_mean_revised_common_reps","delta_beta0_rmse_revised_minus_old","delta_beta1_rmse_revised_minus_old","delta_beta2_rmse_revised_minus_old","delta_baseline_logrisk_rmse_revised_minus_old","delta_loglambda_rmse_revised_minus_old","delta_ppc95_revised_minus_old","delta_abs_logkappa_eta_cor_revised_minus_old","n_total","old_n_analysis_failed","old_failure_rate","n_common_success","revised_n_non_ok"
"S1",-0.00114599558953093,0.00075016754718813,0.00149613942386605,0.0124491728647861,0.012657795713239,0.0134270400199319,0.95,1,0.85,0.46928781515213,0.198537824357245,0.224565383857953,-0.00114599558953092,0.0308653844047776,0.925833333333333,0,1,0.152895083333333,69.9180034206565,0.912388888888889,0.959611111111111,0,1.16666666666667e-06,-0.000602270601740124,0.0268875951815019,-0.000116490781264746,-0.00128897890099734,0.000691703479641422,0.0014689132276321,0.012512953657581,0.012520646212397,0.0136747465634036,0.9,1,0.9,28.8177064695784,17.1958345267559,17.8616379071586,-0.00128897890099733,0.0311636414373699,0.931555555555556,0,1,0.0676668333333334,69.9104485184878,0.912055555555556,0.958444444444444,0,7.77777777777777e-07,NA,NA,NA,6.37807927948483e-05,-0.000137149500841935,0.000247706543471686,0.000298257032592317,0,-0.00116666666666676,NA,20,0,0,20,0
"S2",-0.000490284145758556,0.00339214259741964,-0.00121968401388662,0.0121591718507736,0.014824780164743,0.0124745030636304,1,0.95,1,0.94526261192992,0.164764839089352,0.177684667840313,-0.000490284145758491,0.0299300923837091,0.949833333333333,0.046892015329273,0.949055555555556,0.225262083333333,67.8620917089275,0.920833333333333,0.963777777777778,0,1.83333333333333e-06,-0.00033151142823674,0.0270088945840405,-1.4201226676887e-05,-0.00037699545083493,0.00342229500839787,-0.00146062215818423,0.0122272423955801,0.014787290550984,0.0123882885401519,1,0.95,1,11.3770482010657,4.70222412205779,5.63352176599534,-0.000376995450834934,0.0297660522090534,0.952666666666667,0.0468642944668992,0.9495,0.222355611111111,67.8992441582718,0.920111111111111,0.963444444444445,0,1.38888888888889e-06,0.000855051728229351,0.0275642624594636,0.000441726795694098,6.8070544806488e-05,-3.74896137590418e-05,-8.62145234785134e-05,-0.00016404017465568,-2.77208623737646e-05,-0.000333333333333186,0.000555367875423155,20,0,0,20,0
"S3",-0.000389492607155026,0.00318552760346713,-0.00126331405294729,0.0124074375813375,0.0149673278770422,0.0119568505955748,1,0.95,1,0.784463968328827,0.157320662897304,0.159794954378785,-0.000389492607154969,0.0301312603974002,0.944944444444444,0.0489002733562133,0.905277777777778,0.126967583333333,68.1842351305733,0.919888888888889,0.963944444444444,0,1.58333333333333e-06,0.000733563358603136,0.0272725615803802,0.000370415761044357,-0.000286074719296193,0.00334813535030681,-0.00164327419755606,0.0123031640479461,0.0150336704489701,0.0124917511784246,1,0.95,1,11.8610251370388,4.53455470197147,6.15660317653532,-0.000286074719296189,0.0300384373049658,0.951388888888889,0.0476830139551559,0.930111111111111,0.179248388888889,68.086219326226,0.918944444444445,0.963444444444444,0,1.55555555555555e-06,0.000830132903592519,0.0275004760365795,0.000436448101423026,-0.000104273533391363,6.63425719278441e-05,0.000534900582849782,-9.28230924344443e-05,-0.00121725940105741,-0.000500000000000056,0.000227914456199328,20,0,0,20,0
"S4A",-0.113129876268245,-0.0106054086887734,0.0162785423687054,0.126581381408172,0.0434831941643765,0.0384478252264498,0.333333333333333,0.888888888888889,1,4.48016498636998,1.338277676782,1.48989711656841,-0.113129876268245,0.28161800598388,0.89395061728395,0.494033967369077,0.987777777777778,0.0187779629629629,1.86847097246795,0.984320987654321,0.995185185185185,0.236666666666667,0.251634074074074,0.0247007358668656,0.0462528494450323,0.00937502502129638,-0.10684041547278,-0.0102329590733216,0.0164116902685548,0.118048214980249,0.043403761099445,0.0376953479910896,0.333333333333333,0.888888888888889,1,14.9488299408844,5.99883848013498,7.22545291027771,-0.10684041547278,0.262485276094237,0.894197530864198,0.402452582384487,0.989506172839506,0.01735,1.86862427113433,0.984814814814815,0.995061728395062,0.236666666666667,0.251917407407407,0.0228361724691824,0.0449952506795662,0.00923609588648701,-0.00853316642792393,-7.94330649314806e-05,-0.000752477235360184,-0.019132729889642,-0.0915813849845905,-0.000123456790123488,-0.00125759876546615,10,1,0.1,9,0
"S4B",-0.0465955507245191,0.000627203164033092,0.000151599539634898,0.0587667753718879,0.0251041933473698,0.0225733872578926,0.6,1,1,4.356245411493,0.856412999028539,1.07008663159546,-0.0465955507245193,0.113589488520593,0.922111111111111,0.208844894487833,0.989555555555556,0.0252457222222223,5.19863519426165,0.966,0.987444444444444,0.136222222222222,0.143798055555556,0.0197058667708221,0.0421604374239938,0.00657178995776326,-0.046706680070858,0.000189472414621782,0.000119122936927257,0.0588640435000144,0.0250474505593612,0.0225682062853631,0.6,1,1,17.3175149042731,6.67731181037927,7.66046461522931,-0.046706680070858,0.113522043592714,0.924444444444445,0.209376760558404,0.989666666666667,0.022589,5.21136807307348,0.965777777777778,0.987,0.136222222222222,0.143722666666667,0.0200171654751244,0.0416625695081461,0.00690419442080444,9.72681281265625e-05,-5.67427880086499e-05,-5.18097252947061e-06,-6.74449278789957e-05,0.000531866070570791,-0.000444444444444581,-0.000497867915847695,10,0,0,10,0
"S4C",-0.00622306160804574,-0.00374990968965789,-0.00493725708674058,0.0263233416292804,0.0277259723454527,0.0257612992002846,1,0.9,1,0.252004704308337,0.0574713913482041,0.0497182917650047,-0.00622306160804588,0.0585808872087544,0.945666666666667,0.0739975535827215,0.950777777777778,1.1608955,173.226067219609,0.912777777777778,0.958888888888889,0.00433333333333334,0.00437927777777779,-0.0126316856934603,0.0316767488134552,-0.00768342274595269,-0.00488768494889043,-0.00531412129351746,-0.00509608508488247,0.0266341667673567,0.0273240604701994,0.0252608320183115,1,0.9,1,17.0474498007436,7.70243097930527,9.20601591008799,-0.00488768494889042,0.0577724868690278,0.946111111111111,0.0745483932672647,0.949666666666667,1.13527488888889,173.051625502523,0.910555555555555,0.959333333333333,0.00433333333333334,0.00438211111111111,-0.00868586967000809,0.0307922570207785,-0.00449356046924014,0.000310825138076298,-0.000401911875253232,-0.00050046718197309,-0.000808400339726588,0.000550839684543239,0.000444444444444247,-0.0008844917926767,10,0,0,10,0
"S4D",0.00173548500110997,0.0067293598386077,-0.0055629875265729,0.0255392567966973,0.030255729709718,0.0257808736161892,1,0.9,1,2.79466509509909,0.390915303786451,0.533925611412268,0.00173548500111006,0.0567947403967654,0.958148148148148,0.05366435715171,0.936666666666667,1.08298,69.3890921273774,0.938888888888889,0.977037037037037,0.00481481481481481,0.00441648148148148,-0.00619892350423405,0.0501216832506385,-0.00133866007693922,0.00137925080792746,0.00648127398726346,-0.00549481569164505,0.0258788655065239,0.0298891756062748,0.0257831274462201,1,1,1,28.1686020862852,11.9222814106781,14.6041557984628,0.00137925080792751,0.0566106825871848,0.964814814814815,0.0534859836611806,0.933333333333333,0.833433703703704,69.3599579370762,0.937037037037037,0.978518518518519,0.00481481481481481,0.00440111111111111,-0.0020043090862861,0.050799829037179,3.45586750887901e-05,0.000339608709826512,-0.00036655410344328,2.25383003086763e-06,-0.000184057809580529,-0.000178373490529432,0.00148148148148153,0.000678145786540442,10,0,0,10,0
"S4E",-0.00109821459723807,-0.00267997599650278,0.0016848681386712,0.011615854647099,0.0148754070891723,0.0137536647702118,1,0.9,1,0.978076538435491,0.156850117469426,0.155514629858336,-0.00109821459723817,0.0322260830111389,0.925111111111111,0.056094537114048,0.937444444444444,0.506402222222222,71.4084360736679,0.926222222222222,0.964888888888889,0.000888888888888889,0.000690611111111111,-0.00406369071625751,0.0270718166252678,-0.00137634472388029,-0.00105946933734282,-0.0018128762885924,0.00234744481064333,0.0115488642175479,0.0142559574787812,0.0149359981284893,1,0.9,1,17.1474665022108,7.07383766984958,4.36782494968955,-0.00105946933734282,0.0321544697435551,0.931222222222222,0.056127637807328,0.936555555555555,0.53018,71.4655108495941,0.923555555555556,0.963666666666667,0.000888888888888889,0.000679555555555556,-0.00444160327935924,0.0272852896814883,-0.00154743976835268,-6.69904295510244e-05,-0.00061944961039114,0.0011823333582775,-7.16132675838421e-05,3.31006932799624e-05,-0.00122222222222224,0.00021347305622051,10,0,0,10,0
