"scenario","beta0_bias_old","beta1_bias_old","beta2_bias_old","beta0_rmse_old","beta1_rmse_old","beta2_rmse_old","beta0_coverage95_old","beta1_coverage95_old","beta2_coverage95_old","ess_per_sec_beta0_old","ess_per_sec_beta1_old","ess_per_sec_beta2_old","baseline_logrisk_bias_old","baseline_logrisk_rmse_old","baseline_logrisk_coverage95_old","loglambda_rmse_old","loglambda_coverage95_old","ppc_mean_bias_old","ppc_mean_rmse_old","ppc_coverage90_old","ppc_coverage95_old","observed_zero_prop_old","predicted_zero_prop_old","logkappa_eta_cor_mean_old","logkappa_eta_abs_cor_mean_old","logkappa_eta_slope_mean_old","beta0_bias_revised","beta1_bias_revised","beta2_bias_revised","beta0_rmse_revised","beta1_rmse_revised","beta2_rmse_revised","beta0_coverage95_revised","beta1_coverage95_revised","beta2_coverage95_revised","ess_per_sec_beta0_revised","ess_per_sec_beta1_revised","ess_per_sec_beta2_revised","baseline_logrisk_bias_revised","baseline_logrisk_rmse_revised","baseline_logrisk_coverage95_revised","loglambda_rmse_revised","loglambda_coverage95_revised","ppc_mean_bias_revised","ppc_mean_rmse_revised","ppc_coverage90_revised","ppc_coverage95_revised","observed_zero_prop_revised","predicted_zero_prop_revised","logkappa_eta_cor_mean_revised","logkappa_eta_abs_cor_mean_revised","logkappa_eta_slope_mean_revised","delta_beta0_rmse_revised_minus_old","delta_beta1_rmse_revised_minus_old","delta_beta2_rmse_revised_minus_old","delta_baseline_logrisk_rmse_revised_minus_old","delta_loglambda_rmse_revised_minus_old","delta_ppc95_revised_minus_old","delta_abs_logkappa_eta_cor_revised_minus_old","old_status_n_analysis_failed","old_status_n_analysis_ok","old_status_n_analysis_ok_with_omega_warning","revised_status_n_analysis_ok"
"S1",-0.00114599558953092,0.000750167547188132,0.00149613942386604,0.0124491728647861,0.012657795713239,0.0134270400199319,0.95,1,0.85,0.46928781515213,0.198537824357245,0.224565383857953,-0.00114599558953091,0.0308653844047776,0.925833333333333,0,1,0.152895083333333,69.9180034206565,0.912388888888889,0.959611111111111,0,1.16666666666667e-06,-0.000602270601740121,0.0268875951815019,-0.000116490781264747,-0.00128897890099735,0.000691703479641418,0.0014689132276321,0.012512953657581,0.012520646212397,0.0136747465634036,0.9,1,0.9,28.8177064695784,17.1958345267559,17.8616379071586,-0.00128897890099733,0.0311636414373699,0.931555555555556,0,1,0.0676668333333335,69.9104485184878,0.912055555555556,0.958444444444444,0,7.77777777777778e-07,NA,NA,NA,6.37807927948708e-05,-0.00013714950084196,0.000247706543471733,0.000298257032592338,0,-0.00116666666666654,NA,NA,5,15,20
"S2",-0.000490284145758557,0.00339214259741964,-0.00121968401388663,0.0121591718507736,0.014824780164743,0.0124745030636304,1,0.95,1,0.94526261192992,0.164764839089352,0.177684667840313,-0.000490284145758487,0.0299300923837091,0.949833333333333,0.046892015329273,0.949055555555556,0.225262083333333,67.8620917089275,0.920833333333333,0.963777777777778,0,1.83333333333333e-06,-0.000331511428236741,0.0270088945840405,-1.42012266768855e-05,-0.000376995450834928,0.00342229500839787,-0.00146062215818423,0.0122272423955801,0.014787290550984,0.0123882885401519,1,0.95,1,11.3770482010657,4.70222412205779,5.63352176599534,-0.000376995450834934,0.0297660522090534,0.952666666666667,0.0468642944668992,0.9495,0.22235561111111,67.8992441582718,0.920111111111111,0.963444444444444,0,1.38888888888889e-06,0.00085505172822935,0.0275642624594636,0.000441726795694098,6.8070544806547e-05,-3.74896137590106e-05,-8.62145234784891e-05,-0.000164040174655711,-2.77208623738132e-05,-0.000333333333333519,0.000555367875423134,NA,10,10,20
"S3",-0.000389492607155028,0.00318552760346714,-0.0012633140529473,0.0124074375813375,0.0149673278770422,0.0119568505955748,1,0.95,1,0.784463968328828,0.157320662897304,0.159794954378785,-0.00038949260715497,0.0301312603974002,0.944944444444444,0.0489002733562133,0.905277777777778,0.126967583333333,68.1842351305733,0.919888888888889,0.963944444444444,0,1.58333333333333e-06,0.000733563358603138,0.0272725615803802,0.000370415761044357,-0.000286074719296192,0.00334813535030681,-0.00164327419755606,0.0123031640479461,0.0150336704489701,0.0124917511784246,1,0.95,1,11.8610251370388,4.53455470197148,6.15660317653532,-0.000286074719296185,0.0300384373049658,0.951388888888889,0.0476830139551559,0.930111111111111,0.179248388888889,68.086219326226,0.918944444444444,0.963444444444444,0,1.55555555555556e-06,0.00083013290359252,0.0275004760365795,0.000436448101423026,-0.000104273533391389,6.63425719278632e-05,0.000534900582849811,-9.28230924344374e-05,-0.00121725940105739,-0.000499999999999612,0.000227914456199334,NA,4,16,20
"S4A",-0.113129876268245,-0.0106054086887734,0.0162785423687054,0.126581381408173,0.0434831941643765,0.0384478252264498,0.333333333333333,0.888888888888889,1,4.48016498636998,1.338277676782,1.48989711656842,-0.113129876268245,0.28161800598388,0.893950617283951,0.494033967369077,0.987777777777778,0.0187779629629629,1.86847097246795,0.984320987654321,0.995185185185185,0.236666666666667,0.251634074074074,0.0247007358668657,0.0462528494450324,0.00937502502129638,-0.235223010721288,-0.00728091945743864,0.0147142676248488,0.247323244598155,0.0430506824582275,0.0371196766994432,0.3,0.9,1,14.7956789614236,5.94958885569009,7.23768190275449,-0.235223010721289,0.626640057745911,0.893666666666667,0.747966022267996,0.982888888888889,0.0168198888888889,1.83908700941622,0.984444444444444,0.994777777777778,0.248888888888889,0.263974,0.0277847268923514,0.0498317983722899,0.00966477858937367,0.120741863189982,-0.000432511706149045,-0.00132814852700658,0.345022051762031,0.253932054898919,-0.00040740740740719,0.00357894892725746,1,NA,9,10
"S4B",-0.0465955507245192,0.00062720316403309,0.00015159953963489,0.0587667753718878,0.0251041933473698,0.0225733872578925,0.6,1,1,4.356245411493,0.856412999028538,1.07008663159546,-0.0465955507245192,0.113589488520593,0.922111111111111,0.208844894487833,0.989555555555556,0.0252457222222223,5.19863519426165,0.966,0.987444444444444,0.136222222222222,0.143798055555556,0.0197058667708221,0.0421604374239938,0.00657178995776327,-0.046706680070858,0.000189472414621782,0.000119122936927252,0.0588640435000144,0.0250474505593612,0.0225682062853631,0.6,1,1,17.3175149042731,6.67731181037927,7.66046461522931,-0.046706680070858,0.113522043592714,0.924444444444444,0.209376760558404,0.989666666666667,0.022589,5.21136807307348,0.965777777777778,0.987,0.136222222222222,0.143722666666667,0.0200171654751243,0.0416625695081461,0.00690419442080444,9.72681281266249e-05,-5.67427880086256e-05,-5.18097252942204e-06,-6.74449278792455e-05,0.000531866070570985,-0.000444444444444025,-0.000497867915847654,NA,NA,10,10
"S4C",-0.00622306160804573,-0.00374990968965789,-0.00493725708674059,0.0263233416292804,0.0277259723454527,0.0257612992002846,1,0.9,1,0.252004704308337,0.0574713913482041,0.0497182917650047,-0.00622306160804586,0.0585808872087544,0.945666666666667,0.0739975535827215,0.950777777777778,1.1608955,173.226067219609,0.912777777777778,0.958888888888889,0.00433333333333333,0.00437927777777778,-0.0126316856934603,0.0316767488134552,-0.00768342274595268,-0.00488768494889043,-0.00531412129351745,-0.00509608508488249,0.0266341667673567,0.0273240604701994,0.0252608320183114,1,0.9,1,17.0474498007436,7.70243097930527,9.20601591008799,-0.00488768494889041,0.0577724868690278,0.946111111111111,0.0745483932672647,0.949666666666667,1.13527488888889,173.051625502523,0.910555555555556,0.959333333333333,0.00433333333333333,0.00438211111111111,-0.0086858696700081,0.0307922570207785,-0.00449356046924013,0.000310825138076277,-0.00040191187525327,-0.00050046718197316,-0.000808400339726595,0.000550839684543239,0.000444444444444358,-0.000884491792676675,NA,NA,10,10
"S4D",0.00173548500110998,0.00672935983860771,-0.00556298752657289,0.0255392567966973,0.0302557297097181,0.0257808736161892,1,0.9,1,2.79466509509909,0.390915303786451,0.533925611412268,0.00173548500111005,0.0567947403967654,0.958148148148148,0.05366435715171,0.936666666666667,1.08298,69.3890921273774,0.938888888888889,0.977037037037037,0.00481481481481482,0.00441648148148148,-0.00619892350423405,0.0501216832506385,-0.00133866007693922,0.00137925080792747,0.00648127398726346,-0.00549481569164504,0.0258788655065238,0.0298891756062748,0.0257831274462201,1,1,1,28.1686020862852,11.9222814106781,14.6041557984628,0.00137925080792751,0.0566106825871848,0.964814814814815,0.0534859836611806,0.933333333333333,0.833433703703704,69.3599579370762,0.937037037037037,0.978518518518519,0.00481481481481482,0.00440111111111111,-0.00200430908628609,0.050799829037179,3.45586750887907e-05,0.000339608709826543,-0.000366554103443311,2.25383003090579e-06,-0.000184057809580578,-0.000178373490529425,0.00148148148148153,0.000678145786540484,NA,6,4,10
"S4E",-0.00109821459723807,-0.00267997599650279,0.0016848681386712,0.011615854647099,0.0148754070891723,0.0137536647702118,1,0.9,1,0.97807653843549,0.156850117469426,0.155514629858336,-0.00109821459723817,0.0322260830111389,0.925111111111111,0.056094537114048,0.937444444444444,0.506402222222223,71.4084360736679,0.926222222222222,0.964888888888889,0.000888888888888889,0.000690611111111111,-0.0040636907162575,0.0270718166252678,-0.00137634472388029,-0.00105946933734282,-0.00181287628859241,0.00234744481064333,0.0115488642175479,0.0142559574787812,0.0149359981284893,1,0.9,1,17.1474665022108,7.07383766984958,4.36782494968955,-0.00105946933734282,0.0321544697435551,0.931222222222222,0.056127637807328,0.936555555555556,0.53018,71.465510849594,0.923555555555556,0.963666666666667,0.000888888888888889,0.000679555555555556,-0.00444160327935924,0.0272852896814883,-0.00154743976835268,-6.69904295510677e-05,-0.000619449610391102,0.00118233335827749,-7.16132675838144e-05,3.31006932799624e-05,-0.00122222222222235,0.000213473056220496,NA,5,5,10
