"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.5,-1.50790135744091,-0.00790135744090881,0.0122287336041705,1,3214.92345973544,27.817012993708,NA,"S1","rep11","revised_kappa_collapsed"
"beta1",0.5,0.511450823707342,0.011450823707342,0.0146765767847368,1,2166.67257758993,18.7470588332109,NA,"S1","rep11","revised_kappa_collapsed"
"beta2",-0.4,-0.408185534674855,-0.00818553467485461,0.0121201074108115,1,2356.80219806985,20.3921487364753,NA,"S1","rep11","revised_kappa_collapsed"
"r_mean",15,16.2916360436738,1.29163604367385,1.55320867092251,1,2823.43297182606,24.4296552150614,NA,"S1","rep11","revised_kappa_collapsed"
"beta0",-1.5,-1.5059900960853,-0.00599009608529744,0.0110577822486608,1,3154.68379188542,27.3996299323153,NA,"S1","rep12","revised_kappa_collapsed"
"beta1",0.5,0.491048360517828,-0.00895163948217204,0.0128231144933951,1,2125.848362284,18.4638024795468,NA,"S1","rep12","revised_kappa_collapsed"
"beta2",-0.4,-0.397133276900276,0.00286672309972441,0.0100081100661155,1,2067.29287385841,17.9552257665672,NA,"S1","rep12","revised_kappa_collapsed"
"r_mean",15,15.1598719107503,0.159871910750274,0.828856368830486,1,2723.16651809877,23.6517381018985,NA,"S1","rep12","revised_kappa_collapsed"
"beta0",-1.5,-1.49226222272588,0.00773777727411984,0.0118472470092906,1,2652.91967497761,22.8895322297938,NA,"S1","rep13","revised_kappa_collapsed"
"beta1",0.5,0.502542279758629,0.00254227975862897,0.00911391644932457,1,2189.57932549718,18.8918070205352,NA,"S1","rep13","revised_kappa_collapsed"
"beta2",-0.4,-0.38547003787624,0.01452996212376,0.0170595049181995,1,1972.43752232329,17.0182959794493,NA,"S1","rep13","revised_kappa_collapsed"
"r_mean",15,17.1248506595844,2.12485065958442,2.32888170393266,0,2683.49890847636,23.1533714848357,NA,"S1","rep13","revised_kappa_collapsed"
"beta0",-1.5,-1.503027231811,-0.00302723181099629,0.00935075925011134,1,3379.17125238882,29.2295624211871,NA,"S1","rep14","revised_kappa_collapsed"
"beta1",0.5,0.504812208222907,0.00481220822290662,0.00987401725308738,1,2036.26734240323,17.6135504671225,NA,"S1","rep14","revised_kappa_collapsed"
"beta2",-0.4,-0.401057183953835,-0.00105718395383486,0.00851472852848978,1,1956.27132369582,16.9215912713281,NA,"S1","rep14","revised_kappa_collapsed"
"r_mean",15,16.99151482709,1.99151482708996,2.19706245697904,0,2652.45862780751,22.9435560498178,NA,"S1","rep14","revised_kappa_collapsed"
"beta0",-1.5,-1.49805875334102,0.00194124665898343,0.00927653183312335,1,3140.2958018522,27.1680088057571,NA,"S1","rep15","revised_kappa_collapsed"
"beta1",0.5,0.499050786502071,-0.000949213497928592,0.00948296785721971,1,1993.80497030587,17.2492384183309,NA,"S1","rep15","revised_kappa_collapsed"
"beta2",-0.4,-0.410945460133402,-0.0109454601334023,0.0142751637450417,1,2108.26895568043,18.2395140989735,NA,"S1","rep15","revised_kappa_collapsed"
"r_mean",15,15.8176204606469,0.81762046064687,1.16115497293248,1,2954.05700186141,25.5567792664446,NA,"S1","rep15","revised_kappa_collapsed"
"beta0",-1.5,-1.52124431769061,-0.0212443176906074,0.0234712628777722,0,3134.85603609429,27.2835798058644,NA,"S1","rep16","revised_kappa_collapsed"
"beta1",0.5,0.505245316051781,0.00524531605178125,0.0112286019759969,1,2064.18272723668,17.9651931457163,NA,"S1","rep16","revised_kappa_collapsed"
"beta2",-0.4,-0.401636509055349,-0.00163650905534912,0.00975800929889138,1,2268.96929146331,19.7475112183534,NA,"S1","rep16","revised_kappa_collapsed"
"r_mean",15,13.9416405078382,-1.05835949216176,1.30059602153318,1,2487.25160364763,21.6472867793739,NA,"S1","rep16","revised_kappa_collapsed"
"beta0",-1.5,-1.51762048090393,-0.0176204809039282,0.0197745805199833,0,3779.84007086126,32.7556659376568,NA,"S1","rep17","revised_kappa_collapsed"
