"scenario","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_slope_mean","sampler"
"S1",-0.00128897890099735,0.000691703479641418,0.0014689132276321,0.012512953657581,0.012520646212397,0.0136747465634036,0.9,1,0.9,28.8177064695784,17.1958345267559,17.8616379071586,-0.00128897890099733,0.0311636414373699,0.931555555555556,0,1,0.0676668333333335,69.9104485184878,0.912055555555556,0.958444444444444,0,7.77777777777778e-07,NA,NA,NA,"revised_kappa_collapsed"
"S2",-0.000376995450834928,0.00342229500839787,-0.00146062215818423,0.0122272423955801,0.014787290550984,0.0123882885401519,1,0.95,1,11.3770482010657,4.70222412205779,5.63352176599534,-0.000376995450834934,0.0297660522090534,0.952666666666667,0.0468642944668992,0.9495,0.22235561111111,67.8992441582718,0.920111111111111,0.963444444444444,0,1.38888888888889e-06,0.00085505172822935,0.0275642624594636,0.000441726795694098,"revised_kappa_collapsed"
"S3",-0.000286074719296192,0.00334813535030681,-0.00164327419755606,0.0123031640479461,0.0150336704489701,0.0124917511784246,1,0.95,1,11.8610251370388,4.53455470197148,6.15660317653532,-0.000286074719296185,0.0300384373049658,0.951388888888889,0.0476830139551559,0.930111111111111,0.179248388888889,68.086219326226,0.918944444444444,0.963444444444444,0,1.55555555555556e-06,0.00083013290359252,0.0275004760365795,0.000436448101423026,"revised_kappa_collapsed"
"S4A",-0.235223010721288,-0.00728091945743864,0.0147142676248488,0.247323244598155,0.0430506824582275,0.0371196766994432,0.3,0.9,1,14.7956789614236,5.94958885569009,7.23768190275449,-0.235223010721289,0.626640057745911,0.893666666666667,0.747966022267996,0.982888888888889,0.0168198888888889,1.83908700941622,0.984444444444444,0.994777777777778,0.248888888888889,0.263974,0.0277847268923514,0.0498317983722899,0.00966477858937367,"revised_kappa_collapsed"
"S4B",-0.046706680070858,0.000189472414621782,0.000119122936927252,0.0588640435000144,0.0250474505593612,0.0225682062853631,0.6,1,1,17.3175149042731,6.67731181037927,7.66046461522931,-0.046706680070858,0.113522043592714,0.924444444444444,0.209376760558404,0.989666666666667,0.022589,5.21136807307348,0.965777777777778,0.987,0.136222222222222,0.143722666666667,0.0200171654751243,0.0416625695081461,0.00690419442080444,"revised_kappa_collapsed"
"S4C",-0.00488768494889043,-0.00531412129351745,-0.00509608508488249,0.0266341667673567,0.0273240604701994,0.0252608320183114,1,0.9,1,17.0474498007436,7.70243097930527,9.20601591008799,-0.00488768494889041,0.0577724868690278,0.946111111111111,0.0745483932672647,0.949666666666667,1.13527488888889,173.051625502523,0.910555555555556,0.959333333333333,0.00433333333333333,0.00438211111111111,-0.0086858696700081,0.0307922570207785,-0.00449356046924013,"revised_kappa_collapsed"
"S4D",0.00137925080792747,0.00648127398726346,-0.00549481569164504,0.0258788655065238,0.0298891756062748,0.0257831274462201,1,1,1,28.1686020862852,11.9222814106781,14.6041557984628,0.00137925080792751,0.0566106825871848,0.964814814814815,0.0534859836611806,0.933333333333333,0.833433703703704,69.3599579370762,0.937037037037037,0.978518518518519,0.00481481481481482,0.00440111111111111,-0.00200430908628609,0.050799829037179,3.45586750887907e-05,"revised_kappa_collapsed"
"S4E",-0.00105946933734282,-0.00181287628859241,0.00234744481064333,0.0115488642175479,0.0142559574787812,0.0149359981284893,1,0.9,1,17.1474665022108,7.07383766984958,4.36782494968955,-0.00105946933734282,0.0321544697435551,0.931222222222222,0.056127637807328,0.936555555555556,0.53018,71.465510849594,0.923555555555556,0.963666666666667,0.000888888888888889,0.000679555555555556,-0.00444160327935924,0.0272852896814883,-0.00154743976835268,"revised_kappa_collapsed"
