"scenario","beta0_rmse_old","beta0_rmse_revised","delta_beta0_rmse_revised_minus_old","beta1_rmse_old","beta1_rmse_revised","delta_beta1_rmse_revised_minus_old","beta2_rmse_old","beta2_rmse_revised","delta_beta2_rmse_revised_minus_old","baseline_logrisk_rmse_old","baseline_logrisk_rmse_revised","delta_baseline_logrisk_rmse_revised_minus_old","loglambda_rmse_old","loglambda_rmse_revised","delta_loglambda_rmse_revised_minus_old","ppc_coverage95_old","ppc_coverage95_revised","delta_ppc95_revised_minus_old","logkappa_eta_abs_cor_mean_old","logkappa_eta_abs_cor_mean_revised","delta_abs_logkappa_eta_cor_revised_minus_old"
"S1",0.0124491728647861,0.012512953657581,6.37807927948708e-05,0.012657795713239,0.012520646212397,-0.00013714950084196,0.0134270400199319,0.0136747465634036,0.000247706543471733,0.0308653844047776,0.0311636414373699,0.000298257032592338,0,0,0,0.959611111111111,0.958444444444444,-0.00116666666666654,0.0268875951815019,NA,NA
"S2",0.0121591718507736,0.0122272423955801,6.8070544806547e-05,0.014824780164743,0.014787290550984,-3.74896137590106e-05,0.0124745030636304,0.0123882885401519,-8.62145234784891e-05,0.0299300923837091,0.0297660522090534,-0.000164040174655711,0.046892015329273,0.0468642944668992,-2.77208623738132e-05,0.963777777777778,0.963444444444444,-0.000333333333333519,0.0270088945840405,0.0275642624594636,0.000555367875423134
"S3",0.0124074375813375,0.0123031640479461,-0.000104273533391389,0.0149673278770422,0.0150336704489701,6.63425719278632e-05,0.0119568505955748,0.0124917511784246,0.000534900582849811,0.0301312603974002,0.0300384373049658,-9.28230924344374e-05,0.0489002733562133,0.0476830139551559,-0.00121725940105739,0.963944444444444,0.963444444444444,-0.000499999999999612,0.0272725615803802,0.0275004760365795,0.000227914456199334
"S4A",0.126581381408173,0.247323244598155,0.120741863189982,0.0434831941643765,0.0430506824582275,-0.000432511706149045,0.0384478252264498,0.0371196766994432,-0.00132814852700658,0.28161800598388,0.626640057745911,0.345022051762031,0.494033967369077,0.747966022267996,0.253932054898919,0.995185185185185,0.994777777777778,-0.00040740740740719,0.0462528494450324,0.0498317983722899,0.00357894892725746
"S4B",0.0587667753718878,0.0588640435000144,9.72681281266249e-05,0.0251041933473698,0.0250474505593612,-5.67427880086256e-05,0.0225733872578925,0.0225682062853631,-5.18097252942204e-06,0.113589488520593,0.113522043592714,-6.74449278792455e-05,0.208844894487833,0.209376760558404,0.000531866070570985,0.987444444444444,0.987,-0.000444444444444025,0.0421604374239938,0.0416625695081461,-0.000497867915847654
"S4C",0.0263233416292804,0.0266341667673567,0.000310825138076277,0.0277259723454527,0.0273240604701994,-0.00040191187525327,0.0257612992002846,0.0252608320183114,-0.00050046718197316,0.0585808872087544,0.0577724868690278,-0.000808400339726595,0.0739975535827215,0.0745483932672647,0.000550839684543239,0.958888888888889,0.959333333333333,0.000444444444444358,0.0316767488134552,0.0307922570207785,-0.000884491792676675
"S4D",0.0255392567966973,0.0258788655065238,0.000339608709826543,0.0302557297097181,0.0298891756062748,-0.000366554103443311,0.0257808736161892,0.0257831274462201,2.25383003090579e-06,0.0567947403967654,0.0566106825871848,-0.000184057809580578,0.05366435715171,0.0534859836611806,-0.000178373490529425,0.977037037037037,0.978518518518519,0.00148148148148153,0.0501216832506385,0.050799829037179,0.000678145786540484
"S4E",0.011615854647099,0.0115488642175479,-6.69904295510677e-05,0.0148754070891723,0.0142559574787812,-0.000619449610391102,0.0137536647702118,0.0149359981284893,0.00118233335827749,0.0322260830111389,0.0321544697435551,-7.16132675838144e-05,0.056094537114048,0.056127637807328,3.31006932799624e-05,0.964888888888889,0.963666666666667,-0.00122222222222235,0.0270718166252678,0.0272852896814883,0.000213473056220496
