"scenario","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_slope_mean","sampler"
"S1",-0.00114599558953093,0.00075016754718813,0.00149613942386605,0.0124491728647861,0.012657795713239,0.0134270400199319,0.95,1,0.85,0.46928781515213,0.198537824357245,0.224565383857953,-0.00114599558953092,0.0308653844047776,0.925833333333333,0,1,0.152895083333333,69.9180034206565,0.912388888888889,0.959611111111111,0,1.16666666666667e-06,-0.000602270601740124,0.0268875951815019,-0.000116490781264746,"old_kappa_conditioned"
"S2",-0.000490284145758556,0.00339214259741964,-0.00121968401388662,0.0121591718507736,0.014824780164743,0.0124745030636304,1,0.95,1,0.94526261192992,0.164764839089352,0.177684667840313,-0.000490284145758491,0.0299300923837091,0.949833333333333,0.046892015329273,0.949055555555556,0.225262083333333,67.8620917089275,0.920833333333333,0.963777777777778,0,1.83333333333333e-06,-0.00033151142823674,0.0270088945840405,-1.4201226676887e-05,"old_kappa_conditioned"
"S3",-0.000389492607155026,0.00318552760346713,-0.00126331405294729,0.0124074375813375,0.0149673278770422,0.0119568505955748,1,0.95,1,0.784463968328827,0.157320662897304,0.159794954378785,-0.000389492607154969,0.0301312603974002,0.944944444444444,0.0489002733562133,0.905277777777778,0.126967583333333,68.1842351305733,0.919888888888889,0.963944444444444,0,1.58333333333333e-06,0.000733563358603136,0.0272725615803802,0.000370415761044357,"old_kappa_conditioned"
"S4A",-0.113129876268245,-0.0106054086887734,0.0162785423687054,0.126581381408172,0.0434831941643765,0.0384478252264498,0.333333333333333,0.888888888888889,1,4.48016498636998,1.338277676782,1.48989711656841,-0.113129876268245,0.28161800598388,0.89395061728395,0.494033967369077,0.987777777777778,0.0187779629629629,1.86847097246795,0.984320987654321,0.995185185185185,0.236666666666667,0.251634074074074,0.0247007358668656,0.0462528494450323,0.00937502502129638,"old_kappa_conditioned"
"S4B",-0.0465955507245191,0.000627203164033092,0.000151599539634898,0.0587667753718879,0.0251041933473698,0.0225733872578926,0.6,1,1,4.356245411493,0.856412999028539,1.07008663159546,-0.0465955507245193,0.113589488520593,0.922111111111111,0.208844894487833,0.989555555555556,0.0252457222222223,5.19863519426165,0.966,0.987444444444444,0.136222222222222,0.143798055555556,0.0197058667708221,0.0421604374239938,0.00657178995776326,"old_kappa_conditioned"
"S4C",-0.00622306160804574,-0.00374990968965789,-0.00493725708674058,0.0263233416292804,0.0277259723454527,0.0257612992002846,1,0.9,1,0.252004704308337,0.0574713913482041,0.0497182917650047,-0.00622306160804588,0.0585808872087544,0.945666666666667,0.0739975535827215,0.950777777777778,1.1608955,173.226067219609,0.912777777777778,0.958888888888889,0.00433333333333334,0.00437927777777779,-0.0126316856934603,0.0316767488134552,-0.00768342274595269,"old_kappa_conditioned"
"S4D",0.00173548500110997,0.0067293598386077,-0.0055629875265729,0.0255392567966973,0.030255729709718,0.0257808736161892,1,0.9,1,2.79466509509909,0.390915303786451,0.533925611412268,0.00173548500111006,0.0567947403967654,0.958148148148148,0.05366435715171,0.936666666666667,1.08298,69.3890921273774,0.938888888888889,0.977037037037037,0.00481481481481481,0.00441648148148148,-0.00619892350423405,0.0501216832506385,-0.00133866007693922,"old_kappa_conditioned"
"S4E",-0.00109821459723807,-0.00267997599650278,0.0016848681386712,0.011615854647099,0.0148754070891723,0.0137536647702118,1,0.9,1,0.978076538435491,0.156850117469426,0.155514629858336,-0.00109821459723817,0.0322260830111389,0.925111111111111,0.056094537114048,0.937444444444444,0.506402222222222,71.4084360736679,0.926222222222222,0.964888888888889,0.000888888888888889,0.000690611111111111,-0.00406369071625751,0.0270718166252678,-0.00137634472388029,"old_kappa_conditioned"
