"scenario","baseline_analysis_status","n"
"S1","analysis_ok",20
"S2","analysis_ok",20
"S3","analysis_ok",20
"S4A","analysis_ok",10
"S4B","analysis_ok",10
"S4C","analysis_ok",10
"S4D","analysis_ok",10
"S4E","analysis_ok",10
