"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S2","rep09","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.65756149283635,0.488633400381797,-0.404496979986352,-3474.40532728457,1.64172710992418,2.58578104477519,0.322516666666667,NA,0.8958,399.307550191879,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep09_full_fit.rds","","analysis_ok"
"S2","rep10","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.6679752180876,0.528409590093626,-0.39206544354057,-3475.94691772561,1.53063841230239,2.78955449272929,0.3213,NA,0.88285,400.107488870621,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep10_full_fit.rds","","analysis_ok"
"S2","rep11","nonfinite_output","omega_nonfinite_180","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.4710386725258,0.489840014488247,-0.399430220046423,-3508.20125638954,1.57556054370248,2.53594488600999,0.320794444444444,NA,0.9049,393.750251054764,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep11_full_fit.rds","","analysis_ok_with_omega_warning"
"S2","rep12","nonfinite_output","omega_nonfinite_342","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.5318504470009,0.490954080973962,-0.409939820454066,-3588.20651217251,1.60144963230582,2.58599652777236,0.321794444444444,NA,0.89195,397.353894948959,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep12_full_fit.rds","","analysis_ok_with_omega_warning"
"S2","rep13","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.4536268484164,0.510734072219396,-0.386976529476393,-3464.32724055062,1.74603188821179,2.96684948377585,0.322183333333333,NA,0.87755,399.148499011993,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep13_full_fit.rds","","analysis_ok"
"S2","rep14","nonfinite_output","omega_nonfinite_342","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.59449224409408,0.513275449058324,-0.401039385711574,-3536.1017632888,1.64253879426286,2.93811626626523,0.322255555555556,NA,0.8986,395.764974832535,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep14_full_fit.rds","","analysis_ok_with_omega_warning"
"S2","rep15","nonfinite_output","omega_nonfinite_3405","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.47102386907144,0.509005916159278,-0.40328244399293,-3531.48358699124,1.57648214992671,2.66299216826014,0.320916666666667,NA,0.8774,394.798357963562,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep15_full_fit.rds","","analysis_ok_with_omega_warning"
"S2","rep16","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.41452192553603,0.509270094484638,-0.396134877545416,-3508.3199736314,1.48503369465172,2.70915489425787,0.323561111111111,NA,0.8937,393.327476978302,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep16_full_fit.rds","","analysis_ok"
"S2","rep17","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.74320546728446,0.508373801064062,-0.397262167355925,-3478.97927753317,1.71520888652639,2.61505587046761,0.322438888888889,NA,0.8603,398.485435962677,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep17_full_fit.rds","","analysis_ok"
"S2","rep18","nonfinite_output","omega_nonfinite_597","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.48685635598794,0.504573168076402,-0.394463440363509,-3654.59438805068,1.71785014886126,2.81090762376282,0.324116666666667,NA,0.90055,394.449434995651,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep18_full_fit.rds","","analysis_ok_with_omega_warning"
"S2","rep19","ok","ok","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.65416223771341,0.506833883702715,-0.412810469526446,-3267.77645707282,1.83792411671157,2.5367632406442,0.320983333333333,NA,0.86695,396.742755889893,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep19_full_fit.rds","","analysis_ok"
"S2","rep20","nonfinite_output","omega_nonfinite_123","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.40291454456828,0.516100278610098,-0.412151522050736,-3376.49558087917,1.70060919376139,2.878580853467,0.323616666666667,NA,0.89315,391.856325864792,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S2_rep20_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep01","nonfinite_output","omega_nonfinite_33","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.55430449328552,0.487500778264744,-0.397945075414039,-3459.37752015365,1.85755911690656,2.33714781278857,0.321705555555556,0.753411111111111,0.8458,458.083474874496,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep01_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep02","nonfinite_output","omega_nonfinite_78","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.52550044040465,0.489532372485778,-0.414218109035833,-3503.91056521417,1.59391968956568,2.57142750347691,0.324155555555556,0.811911111111111,0.9045,459.067564964294,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep02_full_fit.rds","","analysis_ok_with_omega_warning"
