"scenario_id","rep_id","TT_short","n_cells","mean_count","zero_prop","count_cv","beta0_mean","beta1_mean","beta2_mean","r_mean","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","phi_rmse","phi_cor","log_kappa_rmse","cor_log_kappa","beta_guard","kappa_guard","lambda_input_guard","lambda_output_guard","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30",1,30,270,180.192592592593,0,1.16270373107397,-1.68335377712957,0.479178075878912,-0.210786520185454,18.7746674287843,0.0592037607110127,0.53816899494196,0.204647749320923,0.229524922626388,0.95355389121176,0.133510479280998,0.868431486580723,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",2,30,270,208.085185185185,0,0.826335393309712,-1.48916652947166,0.473444129297492,-0.46986231986998,15.7174320176652,0.0574910443533582,0.676544857493234,0.21779662836791,0.0822306532889124,0.955592583426011,0.121553323488152,0.887484238492095,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",3,30,270,177.937037037037,0,0.976533932140737,-1.66701183452903,0.492686420679518,-0.0122483397344646,15.4733915379421,0.055961277992262,0.296169592573767,0.177593231686217,0.386589750058083,0.752377352486857,0.109711209818802,0.908331805758008,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",4,30,270,222.97037037037,0,1.01217607439235,-1.35118891324121,0.539019494067773,-0.156510078527131,16.2290358946529,0.0372557245308174,0.743297607222169,0.105986705196875,0.250162635173344,0.490553439878455,0.109620235758379,0.906118172086803,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",5,30,270,243.203703703704,0,0.705014215350764,-1.4406936495747,0.5086014666868,-0.321895962886407,16.3001854773411,0.0474121093887374,0.544502972278757,0.319352877286591,0.0770050823979757,0.969643184537971,0.0950644543936247,0.930407342587485,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",6,30,270,224.011111111111,0,1.108182103754,-1.60726987646116,0.471416497878891,-0.374690117519167,14.8958431918603,0.0499665474180783,0.197006588854379,-0.136223504868635,0.046907588081419,0.996293110453202,0.1099252040598,0.917869112830055,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",7,30,270,225.648148148148,0,1.34499233197214,-1.51624179853256,0.474366100286241,-0.89999479918056,16.9797372298776,0.0484934961972966,0.660276486472999,0.202140325673141,0.474554845608853,0.824117379251588,0.119089137836574,0.882628074773304,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",8,30,270,188.488888888889,0,1.0916775783537,-1.49810230601408,0.522760985817415,-0.570448461360358,15.7827262686412,0.0403684948323675,0.573893475565971,0.127987829943759,0.186689691655224,0.924892025843347,0.108719273651625,0.90980451969082,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",9,30,270,220.840740740741,0,0.894326709455162,-1.45033995750289,0.453518942059636,-0.493916182437001,16.7523495937453,0.0390214514413627,0.151312877183347,0.0322883288975406,0.113009906703356,0.959043564091672,0.115150752033689,0.893886068774126,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",10,30,270,157.896296296296,0,0.994904296423587,-2.0729319435927,0.526890127578419,-0.344733816916531,14.2309258762318,0.0676430353061276,0.406990199982466,0.0802635356450673,0.103971092116267,0.997339514567812,0.142017201439373,0.872115603165929,0,0,0,0,"stable",TRUE,TRUE
