"scenario_id","rep_id","kappa_truth_cv","kappa_post_mean_cv","kappa_cv_bias","kappa_rmse","log_kappa_rmse","kappa_mae","log_kappa_mae","cor_kappa","cor_log_kappa","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30",1,0.268555774770491,0.232748547203819,-0.035807227566672,0.1312446488669,0.133510479280998,NA,NA,0.870740447339423,0.868431486580723,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",2,0.262336619853746,0.237140647006417,-0.025195972847329,0.117781080072893,0.121553323488152,NA,NA,0.892320125048715,0.887484238492095,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",3,0.260662442957374,0.242699919264835,-0.017962523692539,0.105363241135576,0.109711209818802,NA,NA,0.91432521019584,0.908331805758008,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",4,0.24943202029866,0.228402008676674,-0.021030011621986,0.108620115982064,0.109620235758379,NA,NA,0.904415572609242,0.906118172086803,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",5,0.261929572370249,0.241127502726151,-0.020802069644098,0.0928130339844537,0.0950644543936247,NA,NA,0.934711226746472,0.930407342587485,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",6,0.272054447841738,0.250136940998801,-0.021917506842937,0.110282108158249,0.1099252040598,NA,NA,0.917393733032116,0.917869112830055,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",7,0.251519824922682,0.219888745284633,-0.031631079638049,0.115495326726654,0.119089137836574,NA,NA,0.887642077032643,0.882628074773304,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",8,0.249043656133339,0.225708952524877,-0.023334703608462,0.106216619203491,0.108719273651625,NA,NA,0.903071610825407,0.90980451969082,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",9,0.259422746174416,0.23386419625957,-0.025558549914846,0.110952308981931,0.115150752033689,NA,NA,0.905026579207392,0.893886068774126,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",10,0.277558083700662,0.241947325826413,-0.035610757874249,0.1350653972326,0.142017201439373,NA,NA,0.87626021472656,0.872115603165929,"stable",TRUE,TRUE
