"subset","n","TT_short_avg","TT_ratio_to_reference_avg","n_cells_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","cor_delta_log_lambda_avg","lambda_coverage_95_avg","log_lambda_sd_truth_avg","delta_log_lambda_sd_truth_avg","lambda_raw_median_avg","lambda_raw_max_avg","TT_short_sd","TT_ratio_to_reference_sd","n_cells_sd","lambda_rmse_sd","log_lambda_rmse_sd","cor_log_lambda_sd","cor_delta_log_lambda_sd","lambda_coverage_95_sd","log_lambda_sd_truth_sd","delta_log_lambda_sd_truth_sd","lambda_raw_median_sd","lambda_raw_max_sd"
"all_sampled_lambda",10,30,0.3,270,0.0509116094562222,0.050281694217142,0.478816365256905,0.133183370714939,0.933703703703704,0.492504713494643,0.0263561156291875,1.1326869085683,1.52445686505794,0,0,0,0.0104926257798365,0.00984052730410597,0.206571458674066,0.124712994343895,0.0381898768936198,0.31668388751782,0.00497215051107834,0.0540494199539254,0.147049333065214
"stable_only",10,30,0.3,270,0.0509116094562222,0.050281694217142,0.478816365256905,0.133183370714939,0.933703703703704,0.492504713494643,0.0263561156291875,1.1326869085683,1.52445686505794,0,0,0,0.0104926257798365,0.00984052730410597,0.206571458674066,0.124712994343895,0.0381898768936198,0.31668388751782,0.00497215051107834,0.0540494199539254,0.147049333065214
"stable_plus_soft_warning",10,30,0.3,270,0.0509116094562222,0.050281694217142,0.478816365256905,0.133183370714939,0.933703703703704,0.492504713494643,0.0263561156291875,1.1326869085683,1.52445686505794,0,0,0,0.0104926257798365,0.00984052730410597,0.206571458674066,0.124712994343895,0.0381898768936198,0.31668388751782,0.00497215051107834,0.0540494199539254,0.147049333065214
"numerical_instability",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
