"subset","parameter","n_reps","mean_truth","mean_post_mean","sd_post_mean_across_reps","mean_bias","median_bias","rmse_bias","mean_abs_bias","coverage","mean_post_sd"
"all_sampled_lambda","beta0",10,-1.58196684511878,-1.57763005860496,0.202626641542431,0.00433678651382603,0.00488826970369516,0.00882211467232001,0.00769706854484997,1,0.0178419694800558
"all_sampled_lambda","beta1",10,0.5,0.49418822402311,0.0285321214182374,-0.00581177597689029,-0.014067751720785,0.0276848423757134,0.0252661908069717,0.8,0.0195261239262235
"all_sampled_lambda","beta2",10,-0.4,-0.385508659861705,0.246279898457282,0.0144913401382947,0.040288032782151,0.234090598881544,0.181335692707874,1,0.335138664688528
"stable_only","beta0",10,-1.58196684511878,-1.57763005860496,0.202626641542431,0.00433678651382603,0.00488826970369516,0.00882211467232001,0.00769706854484997,1,0.0178419694800558
"stable_only","beta1",10,0.5,0.49418822402311,0.0285321214182374,-0.00581177597689029,-0.014067751720785,0.0276848423757134,0.0252661908069717,0.8,0.0195261239262235
"stable_only","beta2",10,-0.4,-0.385508659861705,0.246279898457282,0.0144913401382947,0.040288032782151,0.234090598881544,0.181335692707874,1,0.335138664688528
"stable_plus_soft_warning","beta0",10,-1.58196684511878,-1.57763005860496,0.202626641542431,0.00433678651382603,0.00488826970369516,0.00882211467232001,0.00769706854484997,1,0.0178419694800558
"stable_plus_soft_warning","beta1",10,0.5,0.49418822402311,0.0285321214182374,-0.00581177597689029,-0.014067751720785,0.0276848423757134,0.0252661908069717,0.8,0.0195261239262235
"stable_plus_soft_warning","beta2",10,-0.4,-0.385508659861705,0.246279898457282,0.0144913401382947,0.040288032782151,0.234090598881544,0.181335692707874,1,0.335138664688528
